DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
4/2/11 23:00	Parsippany (west of)	NJ	Other	30 seconds	It looked like a large gray wreath with small scattered lights, a few miles southwest of Parsippany, NJ 4/2/11.	5/2/11	40.8520812988,-74.3928375244	
3/26/11 22:00	Mullica Township	NJ	Light		Light in the sky that seems to move in very small circles and changes intensity.	4/3/11	39.5868301392,-74.6998977661	
3/25/11 21:00	Egg Harbor Township	NJ	Unknown	7 seconds	Small moving light extremely high in the sky.	4/3/11	39.3619918823,-74.581237793	
3/25/11 11:15	Atlantic City	NJ	Oval	2 min	I'm on a bus and the craft was stationery as we went by. Other strange things have been going on in my legs as well. I have had another	4/3/11	39.3628082275,-74.4265213013	
3/19/11 19:45	Ewing	NJ	Oval	2 minutes	Floating object hovered then flew away very quickly.	3/23/11	40.2697906494,-74.8006134033	
3/11/11 22:33	Waretown	NJ	Oval	Seconds	5 orange lights formed in perfect line southeast on Rt. 9 in Waretown NJ	10/10/11	39.7916793823,-74.195640564	
3/11/11 22:00	Lacey Township	NJ	Oval	30 seconds	5-6 giant bright oval shaped lights in perfect formation by Oyster Creek Power Plant, NJ	3/23/11	39.859539032,-74.2067184448	
3/11/11 21:55	Toms River	NJ	Formation	a few minutes	three orange lights hovered over Barnegat Bay very still and then vanished.	3/23/11	39.9528808594,-74.1937713623	
3/8/11 18:30	Belle Mead	NJ	Light	~1min & 30sec	Glowing orb ascended from my woods, hovered above the trees, trailed behind a plane, stopped, than finally disappeared.	3/23/11	40.467338562,-74.67527771	
3/8/11 18:30	Belle Mead	NJ	Light	~1min & 30sec	Glowing orb ascended from my woods, hovered above the trees, trailed behind a plane, stopped, than finally disappeared.	3/23/11	40.467338562,-74.67527771	
3/6/11 10:28	Mahwah	NJ	Other	3 min	UFO hovering over mine shaft caught it from 35 yards away with my iPhone	3/10/11	41.0892295837,-74.1425247192	
2/23/11 19:10	Berkley Heights	NJ	Light	1 min	Two UFO's?  northeast 19:10 02/23/2011	3/10/11	40.6864891052,-74.4375762939	
2/12/11 01:55	Cape May	NJ	Light	5 seconds	i fast moving red light, turned to blue, changed direction then turned white and it was gone!!!!	2/18/11	38.9352416992,-74.9215927124	
1/17/11 19:55	West Milford	NJ	Fireball	2 min	Five orange orbs of fire/light dancing in sky in West Milford, NJ	2/8/11	41.134311676,-74.36743927	
1/13/11 19:00	Ocean	NJ	Flash	20 minutes	Flashing, star like image in red and green; looked at through binoculars as image seemed to be moving. ((NUFORC Note: Sirius?  PD))	1/31/11	39.8533096313,-74.2392425537	
12/21/10 06:30	Paterson	NJ	Oval	unkown	Oval pulsating orb was hovering over city of Paterson NJ on Dec 21, 2010 @ 6:30 am morning of Lunar Eclipse.	1/5/11	40.9164581299,-74.171081543	
12/20/10 19:00	Newark	NJ	Light	10 min	Rolling strobe lights over Newark	1/5/11	40.7319717407,-74.1741790771	
12/18/10 04:30	Fords	NJ	Light	10 min.	Very Bright Light	1/5/11	40.5274009705,-74.3098602295	
12/11/10 11:00	Newark	NJ	Other	15 seconds	it flew as if it was a jelly fish..but in the sky	1/5/11	40.7319717407,-74.1741790771	
12/11/10 03:30	Newport	NJ	Sphere	15 secs.	Bright lime green orb that appeared, hovered, and then quickly shot downward leaving green trail.	1/5/11	40.7293243408,-74.0323104858	
12/5/10 09:45	Montclair	NJ	Unknown	0:07:00	bright shiny craft moving slowly at over 30K feet then jetted off quickly	1/5/11	40.8120689392,-74.212272644	
12/5/10 09:20	Montclair	NJ	Oval	40 sec	Brite white oval shaped object that grew briter and disappeared	1/5/11	40.8120689392,-74.212272644	
12/4/10 21:00	Somerset	NJ	Light	30 mins	Four powerful white lights circling in a circular manner.  ((NUFORC Note:  Advertising lights??  PD))	1/5/11	40.5636482239,-74.6163482666	
11/23/10 18:00	North Bergen	NJ	Other	4 min.	THE OBJECT CHANGED COLOURS OVER NYC& N.J. IN HEAVY AIRTRAFFIC. MID. AFTERNOON.	3/23/11	40.7930107117,-74.0203933716	
11/10/10 00:00	Sussex	NJ	Other	13	I was walking down the street with a group of friends coming from the local bar. a flash of light occumpanied by a group of crafts that	11/21/10	41.1394691467,-74.6902084351	
11/7/10 12:30	Haledon	NJ	Other	5 minutes	Blue/Green Orb accompianed with Triangle object over Haledon area.	11/21/10	40.9413490295,-74.185218811	
11/1/10 22:45	Bayville	NJ	Other		((HOAX??))  UFO hoovering above the trees.	11/21/10	39.9121818542,-74.1546401978	
10/22/10 20:45	Toms River	NJ	Oval	10	Bright white object flying over Toms River	11/21/10	39.9528808594,-74.1937713623	
10/13/10 20:30	Brick	NJ	Circle	two minutes	A fire disk was seen moving slowly as the light dimmed and object disappeared. 500 Lights On Object0: Yes	11/21/10	40.068359375,-74.1308135986	
10/9/10 21:20	Belmar	NJ	Light	1 - 2 minutes	Orange ball crossing over Belmar, NJ	11/21/10	40.1828918457,-74.0243377686	
10/9/10 05:00	Woodland Park	NJ	Circle	5 minutes	Two yellowish orange round lights in the sky above the trees, one massive light disappearing and reappearing!	11/21/10	40.89661026,-74.1995620728	
9/26/10 12:00	Eatontown	NJ	Disk	3 seconds	ufo	11/21/10	40.3051300049,-74.0587005615	
9/25/10 19:45	Chatham	NJ	Circle	50 seconds	Orange light glowing in the sky, it was twice the size of Jupiter	11/21/10	40.7379302979,-74.3844528198	
9/16/10 04:00	Piscataway	NJ	Unknown	8m	Object seen over Interstate 287 in Piscataway NJ	11/21/10	40.5382003784,-74.4731292725	
9/12/10 21:00	Toms River	NJ	Cigar	3 sec	Cigar shaped haze with two rectangular windows.	11/21/10	39.9528808594,-74.1937713623	
9/11/10 20:00	Whitehouse	NJ	Fireball	10 minutes	information worth reading concerning possible contact.	11/21/10	40.620880127,-74.7570800781	
9/6/10 03:35	Kearny	NJ	Triangle	20 mins	Triangular shaped UFO flying over Kearny,  NJ	11/21/10	40.7642784119,-74.1484680176	
9/5/10 14:00	Alantic Highlands	NJ	Oval	2 seconds	I was reviewing the pictures i took today.  I notice one picture that looked like a ufo.  I wonder if your experts can analyze this to	11/21/10	40.4127616882,-74.038269043	
9/5/10 13:30	Reed's Beach	NJ	Rectangle	2-3 seconds	The shadow of a UFO passed over us under a clear blue sky.	11/21/10	39.1216697693,-74.8908691406	
8/30/10 15:00	Manahawkin	NJ	Cone	90 seconds	Shiny metallic upside down cone shaped object over Jersey Shore.	11/21/10	39.6962509155,-74.258430481	
8/28/10 21:00	Montclair	NJ	Formation	45 minutes	Parallel flashing lights sighted in Montclair, New Jersey.	8/30/10	40.8120689392,-74.212272644	
8/25/10 05:00	Atlantic City	NJ	Light	20 minutes	Multicolored light in the sky.  ((NUFORC Note:  Possibly a "twinkling" star.  PD))	8/30/10	39.3628082275,-74.4265213013	
8/16/10 21:15	Pittstown	NJ	Circle	TBD	Object may have landed in area that saw similar circumstances 4 years ago.  ((NUFORC Note:  Possibly Venus?  PD))	8/24/10	40.5873603821,-74.9531173706	
8/14/10 21:45	Freehold (Canada)	NJ	Egg	:06-:08	UFO spotted over Freehold, New Jersey.	8/24/10	40.2585296631,-74.276512146	
8/14/10 20:10	Westfield	NJ	Fireball	15 minutes	Orange fireballs in New Jersey heading northeast.	8/24/10	40.6543884277,-74.3454437256	
8/13/10 22:25	Metuchen	NJ	Other	20 seconds?	3 swift moving dark eye-shaped attached segments of shimmering grey/silver fly abreast smoothly change to single file  nnw to w	8/24/10	40.5441589355,-74.36302948	
8/12/10 14:15	Secaucus	NJ	Sphere	possibly 30 seconds	Black Sphere in Hudson County Skies	8/24/10	40.7882804871,-74.0549621582	
7/30/10 20:30	Paterson	NJ	Other	2 hours	7/30/2010/ 9:30-11:30pm/Sighting over Paterson NJ Two Satellite Looking Objects; Second Objects Lights Up For A Moment Then Dims Again	8/24/10	40.9164581299,-74.171081543	
7/29/10 18:50	Brielle	NJ	Egg	current	Egg-shaped object in sky moving in semi circle way,  Has craters or holes through the object.  ((NUFORC Note:  Venus??  PD))	8/24/10	40.1123085022,-74.0571289062	
7/22/10 02:00	Alloway	NJ	Other	3-6 hours	Unexplained lights and movement were spotted in the sky above my friends house.	7/28/10	39.5591201782,-75.3627166748	
7/18/10 22:00	Sicklerville	NJ	Light	1 hour	Flashing lights swirling in the night.  ((NUFORC Note:  Venus in the western sky??  Date is flawed.  Possible hoax.  PD))	7/19/10	39.7178497314,-74.9707183838	
7/18/10 22:00	Sicklerville	NJ	Light	1 hour	flashing lights swirling in the night.  ((NUFORC Note:  From witness #2.  Possible sighting of Venus??  PD))	7/19/10	39.7178497314,-74.9707183838	
