DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
8/28/11 21:12	Spokane	WA	Light	1 minute	3 bright orange lights at low altitude over northwest Spokane.	10/10/11	47.6572608948,-117.412277222	
8/28/11 21:09	Seattle	WA	Light	3 minutes	Seatte	10/10/11	47.6035614014,-122.329437256	
8/28/11 21:00	Vancouver	WA	Light	5 minutes	long bright red light, low in sky	10/10/11	45.6322097778,-122.671562195	
8/27/11 23:15	Seattle/Ballard	WA	Triangle	10 minutes	Stationary,triangular object over Shilshole bay with bright red/green alternating light on the 3 points	10/10/11	47.4118690491,-120.58416748	
8/27/11 22:15	Seattle	WA	Circle	5 mins	Two, bright, reddish-orange lights went across the sky, seemingly close as well as not making any noticeable sound. They headed across	10/10/11	47.6035614014,-122.329437256	
8/27/11 22:00	Seattle	WA	Light	1 minute	all of a sudden a new star appeared in  ((NUFORC Note:  Possible flare from an Iridium satellite??  PD))	10/10/11	47.6035614014,-122.329437256	
8/27/11 22:00	Umatilla	WA	Light	5 seconds	Star like moving objects?	10/10/11	46.0574188232,-118.334312439	
8/27/11 21:00	Wilkeson	WA	Light	30 min +	Continued from my other report.Went out about 10 after 9 tonight and they were there again.  I then looked in a more southerly dire	10/10/11	47.1046295166,-122.045959473	
8/26/11 20:30	Monroe	WA	Unknown	30 seconds	Bright light seen three seperate times in a space of three and a half hours.	10/10/11	47.8524017334,-121.981506348	
8/25/11 22:30	Bellingham	WA	Triangle	30+ minutes	Triangular blinking object, low on the horizon, north of Bellingham.  ((NUFORC Note:  Sighting of Sirius??  PD))	10/10/11	48.7523498535,-122.471221924	
8/25/11 21:00	Brier	WA	Light	1 minute	White flickering light and erratic pattern of movement in northern sky.	10/10/11	47.792011261,-122.273078918	
8/25/11 20:52	Arlington	WA	Light	40 seconds	Glowing light slowing down, speeding up and wobbling in the air at night.	10/10/11	48.1942901611,-122.126411438	
8/25/11 20:50	Curlew	WA	Light	30 seconds	Bright wobbly light seen descending in the sky just after dusk.	10/10/11	48.8805999756,-118.601013184	
8/25/11 20:45	Twisp	WA	Fireball	20 sec	bright amber-colored light drifts silently across the evening sky	10/10/11	48.3652000427,-120.123100281	
8/24/11 21:30	Wilkeson	WA	Light	20 minutes	Dim lights moving rapidly across sky	10/10/11	47.1046295166,-122.045959473	
8/23/11 21:24	Auburn	WA	Light	3-5 seconds	Really Fast light heading due South	10/10/11	47.3073997498,-122.230407715	
8/23/11 21:20	Battle Ground	WA	Formation	3 minutes	Four bright, circular lights in formation of boomerang seen hoovering just above the trees, then disappeared.	10/10/11	45.7809181213,-122.534057617	
8/21/11 20:45	Moses Lake	WA	Fireball	1 second	Not the typical meteor burning through the atmosphere. A huge fireball with a short tail.	10/10/11	47.1319313049,-119.277153015	
8/20/11 22:30	Auburn	WA	Light	5 to 8 min	Witnessed 7 to 9 amber lights above the Eastern sky of Kent, WA traveling North at about 1000 ft above the ground at 22:30 Aug 20,2011	8/21/11	47.3073997498,-122.230407715	
8/20/11 21:30	Tacoma	WA	Formation	1 min	15 -20 amber lights in sky in square formation over North Tacoma, Washington	8/21/11	47.2551307678,-122.441650391	
8/19/11 00:44	Maple Valley	WA	Other	5 seconds	Larger slower shooting star like object that I can confirm  a situation  to research!	8/21/11	47.3938102722,-122.045310974	
8/18/11 21:44	Bellingham	WA	Light	2-3 minutes	Red light  travels across Bellingham, Washington sky and vanishes.	8/21/11	48.7523498535,-122.471221924	
8/18/11 04:19	Granite Falls	WA	Light	4 seconds	Blue light from sky split in two and disappeared.  ((NUFORC Note:  Possible meteor?  PD))	8/21/11	48.0815696716,-121.969276428	
8/17/11 22:00	Spokane	WA	Light	1 hour	Dozens of lights in the sky over Spokane Wa. Seen of 4 different occasions	8/21/11	47.6572608948,-117.412277222	
8/17/11 00:34	Kent	WA	Diamond	3 hours still happening r	White,blue when you zoom in,Moving at lightning speeds,Right over my house,kent wa.  ((NUFORC Note:  Stars, or satellites?  PD))	8/21/11	47.380279541,-122.237419128	
8/16/11 22:00	Vancouver	WA	Disk	10 seconds	gray to transparent disc traveling overhead from nnw to sse no sound	8/21/11	45.6322097778,-122.671562195	
8/16/11 11:55	North Bend	WA	Unknown	20 minutes	Unidentified object in Western Washington sky on a bright sunny morning.	8/21/11	47.493270874,-121.782669067	
8/14/11 01:20	Auburn	WA	Flash	20 SEC.	I SEEN A LIGHT THEN A FLASH AND IT WAS GONE.	8/21/11	47.3073997498,-122.230407715	
8/13/11 07:00	Leavenworth	WA	Cylinder	under 5 min	Unusually short vapor trail	10/10/11	47.5971908569,-120.659492493	
8/12/11 21:00	Moses Lake	WA	Fireball	2 minutes	Fireball	8/21/11	47.1319313049,-119.277153015	
8/12/11 14:13	Puget Sound (aboard ferry boat)	WA	Disk	5 min	snap shoots crossing on ferry to Seattle.  ((NUFORC Note:  Possible reflection from window, throught which photo was taken.  PD))	8/21/11	47.8170013428,-122.432998657	
8/11/11 22:10	Olympia	WA	Light	2-3 minutes	Orange red light in sky turned to white as it moved figeting across the sky with no noise.	8/21/11	47.0392303467,-122.891357422	
8/10/11 21:45	Auburn/Renton/Bellevue	WA	Light	15 minutes	4 odd lights over Seattle area around 10PM, 2 seemed to "join" then shot off ((NUFORC Note:  Hoax??  Contact info is defective. PD))	8/21/11	47.6100196838,-122.187850952	
8/10/11 21:30	Trout Lake	WA	Other	1hr+	Light over Mt. Adams	8/21/11	45.995891571,-121.525268555	
8/10/11 02:00	Yakima	WA	Light	One Hour Plus	Dancing Ufo	8/21/11	46.6041297913,-120.507049561	
8/9/11 08:30	Auburn	WA	Cross	30 seconds	Cross shaped craft over highway 18.	8/21/11	47.3073997498,-122.230407715	
8/2/11 00:26	Kennewick	WA	Light	1 minute	A very bright dot of moving red light, then a flash like an explosion far up in the western sky.	8/7/11	46.2080383301,-119.116981506	
8/1/11 01:00	Orting	WA	Light	2 hours	Bright light in western sky	8/21/11	47.0975914001,-122.202178955	
8/1/11 00:30	Clinton	WA	Unknown	1 Min	Object with three lights hovering just above trees.	8/7/11	47.9794616699,-122.357429504	
7/29/11 17:54	Spokane	WA	Oval	3 minutes	Looked to the sky and noticed very high up in the sky, 2 gliding lights/saucers almost dancing around each other.	8/7/11	47.6572608948,-117.412277222	
7/29/11 17:00	Wenatchee	WA	Light	4 minutes	Bright star or planet  at 5 pm that disappeared	8/7/11	47.4141807556,-120.304893494	
7/25/11 03:20	Seattle	WA	Fireball	8 seconds	Green to red fireball sited in Seattle, traveling E to W and a large flash of light beyond the horizon.  ((NUFORC Note:  Meteor?  PD))	8/7/11	47.6035614014,-122.329437256	
7/24/11 23:03	Orting	WA	Light	4 min	Orange balls in the sky very bright	8/7/11	47.0975914001,-122.202178955	
7/24/11 23:03	Orting	WA	Light	4 min	Orange lights near Orting, Wa.	8/7/11	47.0975914001,-122.202178955	
7/23/11 22:15	Des Moines	WA	Light	1 min	Lights over runway landing patterns	8/7/11	47.4078102112,-122.319892883	
7/23/11 17:00	Seattle	WA	Unknown	15 Minutes	Three Silver Unknown Objects Observed Over Western Seattle Sky	8/7/11	47.6035614014,-122.329437256	
7/23/11 00:07	Marysville	WA	Sphere	3-4 minutes	Two red fiery objects fly over Marysville, WA; multiple witnesses	8/7/11	48.0596809387,-122.17691803	
7/22/11 23:15	Spokane Valley	WA	Disk	10 minutes	Bright, Strobing Arc-Shaped light hovering over Spokane Valley, MAKING 90 DEGREE TURNS!	8/21/11	47.6571617126,-117.24836731	
7/18/11 22:00	Vancouver	WA	Sphere	5-10 min	Strange blinking red, blue, and green lights moving in the sky.  ((NUFORC Note:  Possible twinkling star??  PD))	8/7/11	45.6322097778,-122.671562195	
7/18/11 03:15	Lynnwood	WA	Other	10 minutes	1/3 sky being lit by changing colored lights, behind dense low clouds	8/7/11	47.8253211975,-122.292411804	
7/16/11 23:30	Oak Harbor	WA	Light	1-2 MINUTES	Fast moving object flying over Oak Harbor, WA	8/7/11	48.2906684875,-122.646987915	
7/15/11 23:15	SeaTac	WA	Light	12 minutes	On July 15, 2011 at about 11:15 p.m. in SeaTac, WA I saw a light/object travelling North then North-East over the SeaTac Airport.	7/17/11	47.4340591431,-122.274261475	
7/7/11 00:30	Snoqualmie	WA	Other	2 hours	Possible abduction.	7/17/11	47.5270500183,-121.82472229	
7/5/11 19:55	Seattle	WA	Oval	snapshot	I saw a small red disk and a tubular shaped green one next to it, in photo..	7/6/11	47.6035614014,-122.329437256	
7/5/11 15:30	Tacoma	WA	Oval	1 minute	Oval-shaped craft blinked out of the sky	7/6/11	47.2551307678,-122.441650391	
7/4/11 23:30	Marysville	WA	Fireball		To all the people who saw the fireballs I thought they were ufos too until i later saw thatthey were chinese floating lanterns.	7/6/11	48.0596809387,-122.17691803	
7/4/11 23:10	Bellingham	WA	Sphere	3 Minutes	Orange Floating Orbs On The Horizon	7/6/11	48.7523498535,-122.471221924	
7/4/11 23:00	Longview	WA	Oval	half n hour	Me and 10 outher friends of mine just got back from the 4th" of july fest in longview'.We all saw a  yellow ball of light with no sound	7/6/11	46.1468086243,-122.950538635	
7/4/11 22:40	Bellingham	WA	Light	1 minute	Three lights in line formation.  Disappeared in about 1 minute	7/6/11	48.7523498535,-122.471221924	
7/4/11 22:30	Everett	WA	Oval	approx. 2min	Bright red orb seen on July 4th	7/17/11	47.9765701294,-122.206420898	
7/4/11 22:30	Forks	WA	Fireball	3 Minutes	Ball of fire floating over Forks, WA during the 4th of July fireworks display	7/6/11	47.9501419067,-124.385429382	
7/4/11 22:15	Kelso	WA	Oval	2 minutes	Orange object approximate 2 minute sighting.	7/6/11	46.1442489624,-122.898681641	
7/4/11 22:00	Auburn/Federal Way	WA	Sphere	45 minutes	15 witnesses saw red lights at night over Auburn, Washington on 7/4/2011 - Not fireworks or lanterns. 500 Lights On Object0: Yes	7/17/11	47.4118690491,-120.58416748	
7/4/11 22:00	University Place	WA	Sphere	3-5 minutes	07/04/11 - University Place, WA - Spherical UFO with vertical running electric flames on the side of the craft	7/6/11	47.2226295471,-122.537086487	
7/4/11 21:40	Manson	WA	Circle	6 seconds	Unidentified object fades from sight above Lake Chelan near Manson WA	7/17/11	47.8852500916,-120.15965271	
7/4/11 21:30	Parkland	WA	Fireball	~ 15 min	"Fireball" sighting south of Tacoma Washington lasted several minutes.	7/6/11	47.1554107666,-122.432266235	
7/4/11 20:30	Spanaway	WA	Fireball	3:00	Several sightings over Spanaway, WA, of fireball objects with intentional direction of travel.	7/17/11	47.0648994446,-122.410217285	
7/4/11 20:00	Vancouver	WA	Unknown	3 mins	Orange ball ufo muti witness 4th july vancouver WA	7/6/11	45.6322097778,-122.671562195	
7/4/11 19:30	Snoqualmie	WA	Light	20 minutes	One white light and two red, flying over Washington neighborhood on fourth of July	7/17/11	47.5270500183,-121.82472229	
7/3/11 22:00	Moses Lake	WA	Fireball	8 minutes	Red fireball, silently  moving and hovering over our town.	7/4/11	47.1319313049,-119.277153015	
7/3/11 22:00	Longview	WA	Fireball	4 mins	3 Red lights that looked like fireballs fly through the sky in Longview, WA	7/4/11	46.1468086243,-122.950538635	
7/3/11 22:00	Lake Roosevelt	WA	Light	1 minute	Saw three bright red-orange lights moving slowly in the sky above Lake Roosevelt.	8/7/11	47.5850448608,-122.004043579	
7/3/11 22:00	Spokane (Spokane River; Muncies Marina)	WA	Fireball	10-15 Minutes	Spokane River (McCoys Marina):  Red-Yellow Fireball witnessed.	7/17/11	47.6572608948,-117.412277222	
7/3/11 21:45	Kelso	WA	Cylinder	5 minutes	Bright lantern shaped object hovered for awhile then darted across the sky.	7/4/11	46.1442489624,-122.898681641	
7/3/11 21:26	Poulsbo	WA	Oval	3 minutes	Bright falling oval in Poulsbo WA seen  one hour before  the 3rd of July fireworks display.	7/4/11	47.7362785339,-122.646820068	
6/28/11 02:55	Ferndale	WA	Triangle	not sure	two triangular shapesin the sky with a frightful  feeling that accompanied them	7/4/11	48.8475608826,-122.593513489	
6/25/11 23:34	Spanaway	WA	Triangle	10 seconds	v shaped object near mcchord afb	10/10/11	47.0648994446,-122.410217285	
6/25/11 23:00	Spanaway	WA	Light	5-10 seconds	shooting star like object that gets really close and moves up and down then shoots off without a noise!	6/27/11	47.0648994446,-122.410217285	
6/25/11 12:30	Yakima	WA	Light	5 minutes	Bright starlike object that moved position in a small area of sky seen north of Yakima during middle of day	6/27/11	46.6041297913,-120.507049561	
6/24/11 15:00	Everett	WA	Rectangle	10-15 seconds	Observed a stationary cube-shaped object hovering at the edge of rain clouds.	6/27/11	47.9765701294,-122.206420898	
6/23/11 22:30	Lakewood/Dupont (between)	WA	Unknown	40 seconds total	Bright red objects falling from the sky at a high rate of speed.	6/27/11	47.4118690491,-120.58416748	
6/21/11 02:00	Loon Lake	WA	Oval	30 minutes	Multicolored lights on oval object	6/27/11	48.0424613953,-117.624359131	
6/20/11 12:00	Mt. Vernon	WA	Disk	5 minuts	I seen a u.f.o. while walking my dog as it hovered and flew away and i have seen 3 others scince	8/21/11	48.416179657,-122.338920593	
6/18/11 23:33	Ardenvoir	WA	Light	2 min	bright white light zig zagging north to south	6/20/11	47.7368812561,-120.372947693	
6/17/11 03:15	Yacolt	WA	Disk	20 minutes	Bright moving star-like craft moved across the sky at low altitude wobbling-line course.	6/20/11	45.8667984009,-122.408477783	
6/16/11 17:00	Oak Harbor	WA	Sphere	30 sec	Ball of light shadowing an airliner	6/20/11	48.2906684875,-122.646987915	
6/14/11 22:00	Bellevue	WA	Light	1 minute	Man witnesses 7 or 8 unidentified lights move rapidly overhead.	6/20/11	47.6100196838,-122.187850952	
6/14/11 21:30	Mercer Island	WA	Light	10-15 min	Yellowish red lights over Lake Washington 6/14/2011	6/20/11	47.577999115,-122.210647583	
6/13/11 23:57	Ardenvoir	WA	Light	1 minute	A bright white light came from the south,, headed north, We saw this same light earlier in the evening, it dimmed considerably on its w	6/20/11	47.7368812561,-120.372947693	
6/13/11 22:21	Leavenworth	WA	Triangle	6 minutes	Bright triangular shape changing direction and moving irregularly.  ((NUFORC Note:  Sighting of Intl. Space Station.  PD))	6/20/11	47.5971908569,-120.659492493	
