DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
7/4/10 22:15	Columbus	NE	Fireball	20 minutes	I took my son to the store about 9:00 pm on the evening of July 4th, 2010.  We left the store around 10:15 pm. My store receipt reads t	7/6/10	41.4309310913,-97.3718032837	
7/4/10 22:00	North Bend	NE	Unknown	Minutes	"Burning" flying object passes at least 3 times east of North Bend, Nebraska, USA	7/6/10	41.4632606506,-96.780128479	
7/4/10 22:00	Milford	NE	Fireball	30 minutes	A red fireball hovered over Milford Nebraska.	7/10/10	40.7700500488,-97.0524673462	
7/4/10 22:00	Clear Creek East Resort	NE	Sphere	1 hour	About every 5 min. or so a orange/red light moved from North to South all following same flight pattern and speed. Im sure others aroun	7/10/10	
7/4/10 22:00	Fort Calhoun	NE	Circle	20 to 30 min.	On July 4th Looked like 1 round fireball, but was 3,,  55 Pictures	7/19/10	41.4563484192,-96.0263366699	
7/4/10 21:00	Omaha	NE	Circle	10-15 min	Orange lights over Omaha Nebraska.  Not fireworks!	7/6/10	41.2606887817,-95.9405899048	
7/4/10 21:00	Papillion	NE	Circle	10 Min	Birght amber-orange fire ball drifting across the sky	7/19/10	41.1569519043,-96.0429382324	
6/28/10 23:20	Lincoln	NE	Light	About 8 min.	I saw an orange light almost directly above my house, in east Lincoln.  It was a little bigger than a star.	7/6/10	40.813621521,-96.7077407837	
6/11/10 23:28	Omaha	NE	Light	15-20sec	bright light moving fast and just dissappeared	6/23/10	41.2606887817,-95.9405899048	
5/29/10 22:00	Ceresco	NE	Fireball	5 min	A fireball behind a unknown shape craft over Ceresco Nebraska traveling at a high rate of speed.	6/3/10	41.0600891113,-96.6440505981	
5/3/10 21:17	Omaha	NE	Diamond	4 mins	Walking on the South campus of the University of Nebraska at Omaha. Was chased by Diamond shaped UFO which was approaching towards me.	5/12/10	41.2606887817,-95.9405899048	
4/30/10 21:00	Lincoln	NE	Other	15-20 seconds	I witnessed a some sort of octagon or circular shape shoot a beam of light in my backyard	5/12/10	40.813621521,-96.7077407837	
3/5/10 21:00	Plattsmouth	NE	Light	3-4 mins	Orange sphere by platte river	4/13/10	41.0111694336,-95.885597229	
2/19/10 01:20	Omaha	NE		5 seconds	I was taking my two dogs out for the last time in a lightly tree covered dog run behind my apartment complex garages when I saw a giant	4/13/10	41.2606887817,-95.9405899048	
1/22/10 17:00	Lincoln	NE	Disk	about 15 minutes	((NUFORC Note:  Student report. PD)) I am a firm believer in aliens, being 16 years old, I know people usually don't take me seriously.	2/14/10	40.813621521,-96.7077407837	
11/2/09 21:00	Omaha	NE	Light	About 30 seconds	I was looking up at around 23:00 northwards, and saw what appeared to be a rainbow-colored, as in changing colors, up in the sky. It st	12/12/09	41.2606887817,-95.9405899048	
10/31/09 20:00	Omaha	NE	Sphere	3 minutes	Strange orange orb on 10/31	12/12/09	41.2606887817,-95.9405899048	
9/26/09 22:00	Fort Calhoun	NE	Unknown	ongoing	multi colored stationary objects viewed from Fort Calhoun NE on Sept. 26, 2009 at approximately 2200 - 2230	12/12/09	41.4563484192,-96.0263366699	
9/20/09 15:14	Plattsmouth	NE	Cigar	2 mins	Pod or cigar shaped craft over plattsmouth	12/12/09	41.0111694336,-95.885597229	
9/19/09 20:00	Lincoln	NE	Fireball	5 minutes	Orange fireball looking object moving very slowely in the sky.	12/12/09	40.813621521,-96.7077407837	
9/8/09 22:15	Lincoln	NE	Light	40-45 minutes	Bright star flashing different colors in western sky.  ((NUFORC Note:  Probably a twinkling star.  PD))	12/12/09	40.813621521,-96.7077407837	
8/31/09 00:05	Scottsbluf	NE	Flash	30 seconds	Bright flash of light folled by trail	12/12/09	41.8617706299,-103.662757874	
8/28/09 22:00	North Platte	NE	Triangle	6 minutes	I walked out of the house at 10 PM and something caught my eye, so I looked up and saw a  Rectangle Object with a White Light on each c	12/12/09	41.1363182068,-100.763328552	
8/18/09 18:45	Omaha	NE	Cigar	30 seconds	A white aircraft, almost resembling a commercial airliner, vanished before my eyes. The aircraft did not posess normal characteristics.	8/27/09	41.2606887817,-95.9405899048	
7/26/09 02:00	Lincoln	NE	Light	1 hour	my neighbors and i saw the bright red light coming out of the north then turning to the east then coming back around to the north takin	8/5/09	40.813621521,-96.7077407837	
7/22/09 21:00	Alliance	NE	Light	30 minutes	Saw 7 ufo's in the night sky;  all within a 30 min.; most of which were going different dir.'s.  ((NUFORC Note:  Satellites?  PD))	8/5/09	42.0971107483,-102.871452332	
7/7/09 10:10	Lincoln	NE	Light	5-10 minutes	Looked like a star moving very rapidly across the sky, too fast for a satellite.	8/5/09	40.813621521,-96.7077407837	
7/2/09 21:15	Lincoln	NE	Cylinder	5 min	Cylindrical object with bright orange light.	8/5/09	40.813621521,-96.7077407837	
6/26/09 22:30	Filley	NE	Unknown	
	This object lit up like a miniature sun several miles across and then shot off into space.	8/5/09	40.2870597839,-96.5363006592	
6/23/09 02:30	Otoe	NE	Light	unknown	it was blinking at 2:30am then it stopped just a bright light hovering in the sky.	8/5/09	40.7260513306,-96.1192932129	
6/19/09 21:45	Omaha	NE	Changing	20-25 seconds	Willowcreek Park, Omaha, UFO sighting - June 19,  2009	8/5/09	41.2606887817,-95.9405899048	
6/13/09 20:15	Waterloo	NE	Other	30 seconds	I saw, just above the tree line, a hovering object, probably a half mile a way.  I slowed down my car...	8/5/09	41.2877082825,-96.2886505127	
5/19/09 23:45	Springfield/Papillion	NE	Circle	1 minute	A large object was seen by myself and two witnesses, about the size of an airplane but behaving in a way that would suggest it was not.	6/9/09	41.2764015198,-96.0307922363	
4/2/09 21:17	McCook	NE	Unknown	ongoing	Flashing red/green/blue light seen in eastern sky from McCook, Nebraska.  ((NUFORC Note:  We suspect a star in the eastern sky.  PD))	4/14/09	40.198589325,-100.62525177	
2/6/09 21:00	Lincoln	NE	Light	30 minutes	A light stretching out and then retracting disappears suddenly.	3/19/09	40.813621521,-96.7077407837	
2/5/09 01:00	Kearney	NE	Circle	10 minutes	Large, round, red light sighted in Kearney, Nebraska silently flying very low and slow to the ground.	3/19/09	40.7004699707,-99.0836868286	
1/31/09 10:30	Scottsbluff	NE	Changing	1-2 minutes	Black, liquid mercury, shape changing object which can move at amazing speed, stop at amazing speeds to hover	3/19/09	41.8617706299,-103.662757874	
1/24/09 00:30	Beatrice	NE	Disk	4+ hours	4 hours in the sky.....same location.....colored lights	3/19/09	40.265838623,-96.7474899292	
12/3/08 15:00	Omaha	NE		minutes	object/lifeform floating silently in our house glided into next room	1/5/11	41.2606887817,-95.9405899048	
11/26/08 22:45	Lincoln	NE	Circle	15 minutes	Red/orange glowing ball low on the horizen then climbed untill out of sight	1/10/09	40.813621521,-96.7077407837	
11/22/08 18:10	Omaha	NE	Light	1 minute	Bright white light turned red and dissappreaed, later a "wave" of small lights from the same spot	1/10/09	41.2606887817,-95.9405899048	
11/21/08 19:30	Brady	NE	Light	15 minutes	high speed red/blue lights extremely fast and maneuverable with the ability to disappear	1/10/09	41.0223999023,-100.365341187	
11/20/08 19:04	Spalding	NE	Formation	1 min	Many lights in the sky seen outside of Spalding, NE.	1/10/09	41.6882591248,-98.3681793213	
11/2/08 19:40	Sarpy County	NE	Unknown	2-3 minutes	Dim and Bright yellowish orange light in the sky, then disappeared !	1/10/09	41.1130409241,-96.1119232178	
11/1/08 10:05	Osceola	NE	Cigar	30 sec	me and my brother were driveing down a gravel road when we seen this object, and aour car turned off, i have seen several other ocasion	1/10/09	41.1816215515,-97.5487365723	
10/7/08 21:45	Lincoln	NE	Sphere	2 Minutes	Two glowing orange balls of light traveling in a southern direction dropping "flares" and continuing south.	10/31/08	40.813621521,-96.7077407837	
9/25/08 03:30	Ainsworth	NE	Triangle	30 seconds	Three objects that are silent and unexplainable	1/10/09	42.5474510193,-99.8624801636	
8/29/08 20:30	Lincoln	NE	Light	3 minutes	Bright red light surrounded by light red translucent red halo	10/31/08	40.813621521,-96.7077407837	
8/24/08 17:32	Lincoln	NE	Cigar	23 Minutes	The UFO had blue and yellow alternating lights, cigar shaped, and suddenly changed directions.	1/10/09	40.813621521,-96.7077407837	
8/16/08 22:00	Grand Island	NE	Oval	5 minutes max	My husband and I saw two silent, low flying, bright circular lights with orange tint, about 10 p.m.	10/31/08	40.9247398376,-98.3398971558	
7/4/08 22:30	Lincoln	NE	Teardrop	1 minute appx	Flaming tear-shaped object flying over southwest Lincoln, Nebraska on July 4th.	8/12/08	40.813621521,-96.7077407837	
6/23/08 23:10	Papillion	NE	Unknown	seconds	Bright light behind a haze changed from white-ish yellow to blue colors.	7/5/08	41.1569519043,-96.0429382324	
6/16/08 08:45	Hastings	NE	Unknown	14-17 seconds	((HOAX))  3 UFO's appeared in the space of 15 seconds. 500 Lights On Object0: Yes	10/31/08	40.5856513977,-98.3923721313	
2/29/08 12:00	Omaha	NE	Light	4 hours	Star Light resembling craft in formations of 3 and huge megaship over  Standing Bear.	3/4/08	41.2606887817,-95.9405899048	
2/11/08 23:00	Nebraska City	NE	Circle	10 Minutes	Large UFO circular in shape with a crescent-like glow spotted for 10 mins, 1 mile west of Nebraska City.	2/14/08	40.6771392822,-95.8589019775	
12/28/07 23:19	Omaha	NE	Circle	few seconds	Green speedy circle over 100th Street and I-80 in Omaha, NE travelling east bound	3/4/08	41.2606887817,-95.9405899048	
12/18/07 19:20	Randolph	NE	Formation	5 seconds	Two witnessees saw 3 bright incandescent colored balls of light in NorthEast Nebraska.	3/4/08	42.3792381287,-97.3569564819	
11/13/07 23:45	Lincoln	NE	Changing	less than 2 mins	Bright white light that change formation, had a limited duration.	11/28/07	40.813621521,-96.7077407837	
11/8/07 22:00	Omaha	NE	Formation		main object which formed small cluster/moved and changed rapidly. red, bright pink. blue.  ((NUFORC Note:  Possibly Sirius??  PD))	1/21/08	41.2606887817,-95.9405899048	
11/2/07 23:52	Omaha	NE	Other	10 Minutes	Wishbone frame over southwest Omaha, emerging from clouds.	11/28/07	41.2606887817,-95.9405899048	
11/2/07 22:25	Hershey	NE	Light	20 seconds	Bright Light in northern Sky, not any Planet I know of and Not the Space Station	11/28/07	41.1580886841,-101.002433777	
10/25/07 19:50	Wood Lake	NE	Light	few seconds	There where Three lights.  Two where side by side and the other was away from the other two.  I only seen them for 2 or 3 seconds.  The	11/28/07	42.6348991394,-100.237213135	
10/24/07 21:35	Roca	NE	Rectangle	30 minutes	((HOAX??))  This made me an alcoholic.  ((NUFORC Note:  Because of the profanity in the original version, we suspect a hoax here.  PD))	11/28/07	40.6574707031,-96.6629486084	
10/24/07 17:25	Columbus	NE	Sphere	5-10 MIN	4 to 5  shinny object with no sound flew over the house heading due west.	11/28/07	41.4309310913,-97.3718032837	
10/9/07 23:05	Omaha	NE	Triangle	45 seconds	"V" shaped pattern of 10-12 white lights, moving south in omaha NE	11/28/07	41.2606887817,-95.9405899048	
10/6/07 14:00	Brownlee (southwest of)	NE	Oval	few minutes	I sighted a UFO on Oct. 6, 2007 and reported it on this site.  Approximately a month later, I believe it was Nov. 7, 2007, I saw someth	8/27/09	42.287979126,-100.536453247	
10/6/07 05:45	Johnstown	NE	Rectangle	2-3 minutes	My Report to the UFO Website October 6, 2007 5:45 a.m. Central Approximately Three Miles West of Johnstown, Nebraska   On October 6, 20	11/28/07	42.5711708069,-100.058486938	
10/5/07 23:45	Omaha	NE	Light	35 seconds	Bright light over west Omaha at 11:45pm Oct. 5th.	11/28/07	41.2606887817,-95.9405899048	
10/3/07 14:30	Plattsmouth	NE	Fireball	3 Seconds	While I was driving north towards Plattsmouth, NE, between 2:30 and 3:30PM, I looked up to about 1:00 in the sky and saw a big, bright	10/8/07	41.0111694336,-95.885597229	
9/30/07 17:30	West Point	NE	Cigar	1 Second	Cigar Shaped UFO Flying Into a Storm Cloud	10/8/07	41.8394317627,-96.7108383179	
9/30/07 00:25	La Vista	NE	Triangle	2 min	Triangular Ufo in Bellevue?	10/8/07	41.1869697571,-96.0430831909	
9/12/07 03:20	Lincoln	NE	Circle	10 Seconds	I noticed a white circle moving slowly at a constant speed in the sky.  It's possible that it could have been an oval.  It was fairly s	10/8/07	40.813621521,-96.7077407837	
8/19/07 10:15	Eustis	NE	Light	still going	dancing lights in the sky	10/8/07	40.6678390503,-100.028442383	
8/18/07 23:00	Ainsworth	NE	Triangle	2 seconds	Strange lights over Ainsworth, NE, 2007	10/8/07	42.5474510193,-99.8624801636	
8/13/07 19:30	Grand Island	NE	Disk	15 sec	((HOAX??  Student report))  a yellow disk hovering for a few seconds then took off.	8/14/07	40.9247398376,-98.3398971558	
7/15/07 23:30	Milford	NE	Circle	10 min	Bright blue flashing light moving extreamly fast west.	8/7/07	40.7700500488,-97.0524673462	
7/5/07 20:00	Ralston	NE	Light	10 minutes	Ten starlike objects seen in daylight just s of Omaha - most stationary but some moved various directions	8/7/07	41.2022705078,-96.0319366455	
6/29/07 23:30	North Platte	NE	Triangle	5min	Went to my truck and looked up and saw 3 very very hight lights moveing in a tri shap. shift and move north slowly , as watching the 3	8/7/07	41.1363182068,-100.763328552	
5/5/07 01:00	Denton	NE	Other	5-7 minutes	Object seen outside of Lincoln ,NE	6/12/07	40.7401390076,-96.8455581665	
4/4/07 16:53	Omaha	NE	Flash	1 minute	Silver Object/Flash Appears in Sky- Disappears, then Reappears	4/27/07	41.2606887817,-95.9405899048	
4/2/07 06:35	Omaha	NE	Circle	1 minute	I saw a semi-circular object with bright yellowish/orange lights that rapidly flew away in Omaha.	4/27/07	41.2606887817,-95.9405899048	
3/20/07 09:00	Papillion	NE	Cigar	30 seconds	Two cigar shapes traveling the same direction and speed and aproximately one mile away.	8/7/07	41.1569519043,-96.0429382324	
3/13/07 21:00	Beatrice	NE	Light	Two Days	I saw a low positioned yellow light that disappeared after a short period of time, haven't seen it since.	4/27/07	40.265838623,-96.7474899292	
