DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
7/25/11 01:45	Columbus	OH	Chevron	2 minutes	Huge Arrow shaped object with multiple lights veiwed and followed in car with friend over Columbus, Ohio.	8/7/11	39.9619598389,-83.0029830933	
7/17/11 01:00	Findlay	OH	Unknown	3 days still happening	((HOAX??))  Aliens live in are yard.  ((NUFORC Note:  We are unconvinced that this is a serious report.  PD))	8/7/11	41.0373916626,-83.6502838135	
7/16/11 22:30	South Euclid	OH	Sphere	7 minutes	9 Brilliant Fiery Orange Orbs Fly Across the Sky in a Straight Line followed by 4 More	8/7/11	41.5232009888,-81.5194396973	
7/16/11 22:00	Brunswick	OH	Fireball	8-10 minutes	2 people witness 2 low flying, big fiery red/orange, slow controlled moving, soundless spherical shapes moving South to North.	7/17/11	41.2382698059,-81.839630127	
7/14/11 22:00	Cleveland	OH	Circle	3 min	Orange-red flickering ball floating over lake Erie west of the cuyahoga river. Floated then took of upward and west until disappeared.	7/17/11	41.5047111511,-81.6907424927	
7/13/11 22:25	Columbus	OH	Other	20-30 seconds	Amber fire lantern over midtown Clintonville in Columbus, Ohio hovers for 10 seconds then quickly disappears into the sky	7/17/11	39.9619598389,-83.0029830933	
7/13/11 20:45	Goshen	OH	Cylinder	10 minutes	The craft glowed a bright white and it was still daylight.	7/17/11	39.2344703674,-84.1564102173	
7/12/11 23:10	Fairfield	OH	Disk	2 Min	Saucer with Winged-Shaped Lights	7/17/11	39.3330802917,-84.5588531494	
7/9/11 22:00	Delta	OH	Circle	45 seconds	Yellow round ball of light which made S shaped manueuvers.	7/17/11	41.5739097595,-84.002746582	
7/7/11 00:50	Cincinnati	OH	Diamond	1 min	Small diamond craft with two white lights on the sides and a red light on the front in the shape of a triangle	7/17/11	39.1066093445,-84.5045471191	
7/6/11 22:45	Maumee	OH	Circle	about an hour	there was a flashing ball of light moving in strange patterns and that hid from a plane.	8/7/11	41.5633392334,-83.6541595459	
7/6/11 22:25	Strongsville	OH	Circle	2-3 minutes	Circle of red lights flying smoothly and low with no sound and hovered for a bit before moving on.	8/7/11	41.2969818115,-81.869392395	
7/4/11 23:52	Van Wert	OH	Fireball	approx. 2-3 min.	one object coming from north too south then made a curve change of corse then went due west moving slowly almost looked like something	7/6/11	40.8696289062,-84.5800704956	
7/4/11 23:30	Struthers	OH	Circle	30 secs	Struthers	7/6/11	41.054069519,-80.5917282104	
7/4/11 22:46	Aurora	OH	Sphere		There were two orange spheres spaced perfectly apart traveling at a fast speed from north east to south	7/6/11	41.3149604797,-81.345489502	
7/4/11 22:00	Cincinnati	OH	Teardrop	15 minutes	Pitch black UFOs with red-pink light that faded	7/6/11	39.1066093445,-84.5045471191	
7/4/11 22:00	Olmsted Falls	OH	Light	60-70 seconds	Six persons witnessed six orange lights passing over Olmsted Falls, Ohio amid fireworks displays.	7/6/11	41.372718811,-81.9099884033	
7/4/11 21:30	Lancaster	OH	Egg	15 Mins	Witnessed a floating  pulsating orange ball, that stopped glowing, flashed blue/white lights, glowed orange again, then went out.	7/6/11	39.7137489319,-82.6032791138	
7/4/11 01:50	Cleveland	OH	Fireball	2 minutes	Fireball like object flying east to west along shoreline near downtown Cleveland	7/6/11	41.5047111511,-81.6907424927	
7/3/11 22:12	Sylvania	OH	Light	2 minutes	UFO over quarry/fireworks celebration	7/4/11	41.7155685425,-83.704246521	
7/1/11 22:30	Cuyahoga Falls	OH	Circle	3 minutes	it was friday night 11:30.  i was in my back yard looking at the stars and i saw one     that was moving very slowly.  it came from the	7/6/11	41.1384086609,-81.4837188721	
6/28/11 23:15	Miami Township	OH	Sphere	2 min	A craft went across the sky, turned upwards, and disappeared.  ((NUFORC Note:  Over-flight of International Space Station.  PD))	7/4/11	39.1591682434,-84.7402801514	
6/26/11 22:00	Dayton	OH	Circle	5 minutes	Circular craft with lights around the entire parameter hung low and immobile in Dayton ohio	7/4/11	39.7591094971,-84.194442749	
6/18/11 22:30	Massillon	OH	Cone	2 minutes	We saw an orange cone shaped object sitting there. I walked inside my house and then out my front door and it was gone.	6/20/11	40.7946281433,-81.5228271484	
6/12/11 23:00	Lafayette	OH	Light	10 min	Slow moving, soundless, low flying orange light traveling directly over Lafayette Ohio.	6/12/11	40.7602310181,-83.9494476318	
6/11/11 21:50	Nelsonville	OH	Circle	2 mins.	Unidentifiable object observed over Nelsonville, Ohio.	6/12/11	39.4575119019,-82.2286834717	
6/4/11 09:45	Powell	OH	Light	1 minute	Four orange lights over Powell, Ohio	6/12/11	40.1576499939,-83.0764389038	
6/1/11 23:00	Perrysburg	OH	Circle	3 minutes	Two red-orange balls of light traveled at fast, steady speeds across the sky only to disappear into nothingness 30 secoonds later.	7/4/11	41.5567092896,-83.6288986206	
5/28/11 00:15	Genoa Township	OH	Sphere	Aprox 3 Mins.	5 orange orbs seen over delaware county.	5/29/11	40.1677780151,-82.9072189331	
5/25/11 21:15	Cincinnati	OH	Sphere	10-12 seconds	Red sphere over Cincinnati, OH	5/29/11	39.1066093445,-84.5045471191	
5/24/11 01:15	Cincinnati	OH	Light	30 minutes (and counting)	Slow, low-flying lights making vast circles in the night sky (probably an odd airplane)  ((NUFORC Note:  Advertising lights??  PD))	5/29/11	39.1066093445,-84.5045471191	
5/14/11 22:00	Columbus	OH	Formation	5 minutes	UFO's over Columbus, OH!	5/29/11	39.9619598389,-83.0029830933	
5/8/11 21:23	Barnesville	OH	Unknown	2 Minutes	A flight of 12 aircraft flying silently in four V shaped formations of 3 were sighted on May 8 at 21:23 Hours over Belmont County Ohio.	5/12/11	39.9884300232,-81.1771697998	
4/14/11 08:45	Carrollton	OH	Oval	2 minutes	metalic oval craft over rural eastern ohio	5/2/11	40.5732116699,-81.0868606567	
4/13/11 10:30	Akron	OH	Oval	30 mins	((HOAX??))  i was outside of my house when i seen a oval of light circleing the sky.	5/2/11	41.0841903687,-81.5140609741	
3/20/11 22:00	Sylvania	OH	Light	10 seconds	NW Ohio 3 low flying white lights moving together in a triangle formation with no sound at night.	3/23/11	41.7155685425,-83.704246521	
3/4/11 01:00	Elyria	OH	Triangle	5-10 minutes	Black craft shaped like stealth jet but too low flying and quiet in rural Elyria.	3/10/11	41.3676795959,-82.1058425903	
3/3/11 21:03	Blanchester	OH		2-3 seconds	white light going east to west	3/10/11	39.2935409546,-83.9879302979	
3/1/11 21:30	Worthington	OH	Circle	3 seconds	White light appeared, moved, and disappeared.	6/27/11	40.0984611511,-83.0174713135	
2/22/11 15:10	Kettering	OH	Circle	1 second	((HOAX??))  A silvery medium-sized object zoomed across the sky.	2/23/11	39.6952514648,-84.1629714966	
2/21/11 05:50	Avon Lake	OH	Unknown	1 minute	I woke up to a low humming sound...sounded like it was throughout the whole house. I looked out our family room picture windows and saw	2/23/11	41.5129508972,-82.0185394287	
2/15/11 16:45	Solon	OH	Other	10 seconds	silvery long reflective moved to go back in cloud cover at rush hour	2/18/11	41.3871192932,-81.4344024658	
2/10/11 21:30	Pedro	OH	Formation	2 minutes	Two lights 300-500ft apart you could fit a few football fields in between them]one was red and  one was blue.	2/18/11	38.6304206848,-82.6671981812	
2/10/11 20:30	London/S. Charleston (between)	OH	Unknown	15-20 mins	Cluster of lights	2/18/11	39.8859596252,-83.4481277466	
1/22/11 18:45	Tallmadge	OH	Cigar	2-3 Minutes	Extremely bright cigar shaped craft over Tallmadge, Ohio.	1/31/11	41.1029396057,-81.4408569336	
1/18/11 23:30	Navarre	OH	Oval	1-2 mins	Cone like object near Navarre, OH	1/31/11	40.7243995667,-81.5228500366	
1/15/11 01:00	Cincinnati	OH	Cone	10 seconds	Shooting star like thing came down UFO appeard with a gold glow	1/31/11	39.1066093445,-84.5045471191	
1/12/11 21:10	Cleveland	OH	Flash	5 Min	Beam of light over Cleveland Clinic Main Campus in Cleveland, Ohio That cause power loss.	1/31/11	41.5047111511,-81.6907424927	
1/10/11 21:30	Port Clinton	OH	Triangle	Stayed and watched for on	5-10 Triangular and Spherical UFOs hovering over the Bay	1/31/11	41.5132904053,-82.9418716431	
1/2/11 18:00	North Canton	OH	Other	5 mim	We saw a UFO	1/31/11	40.8755493164,-81.4020614624	
1/1/11 00:07	Reynoldsburg	OH	Circle	8-10 seconds	flame colored circle cruised slowly, turns, and vanishes at astonishing speed	1/5/11	39.9552001953,-82.8056335449	
12/24/10 20:00	Cherry Fork	OH	Light	5 min	Three red lights in triangle formation no sound but movement.	4/3/11	38.8876800537,-83.6146011353	
11/28/10 19:00	Columbus	OH	Triangle	8-10 minutes	Triangle UFO seen near Port Columbus International Airport was ''wobbly''.	1/5/11	39.9619598389,-83.0029830933	
11/19/10 20:04	Massillon	OH	Triangle	6 minutes	Triangular-shaped object flying low with white flashing lights over Perry Township in Massillon, Ohio.	11/21/10	40.7946281433,-81.5228271484	
11/19/10 19:00	Boardman	OH	Circle	20 minutes	Twenty bright red lights moving from west to east.	1/5/11	41.0243492126,-80.6597824097	
11/12/10 18:00	Cleveland	OH	Circle	drove past	Cleveland, OH lights coming from lake erie.	11/21/10	41.5047111511,-81.6907424927	
11/12/10 00:45	Galloway	OH	Disk	3 MINUTES	attempting to resend video from prior report	1/5/11	39.9140090942,-83.1630783081	
11/12/10 00:45	Galloway	OH	Disk	3 MINUTES	Disc shaped object sitting on top orange pulsating ball of light, and flickering image of itself next to it.	1/5/11	39.9140090942,-83.1630783081	
11/11/10 22:40	Oberlin	OH	Light	20 minutes	Second Sighting of Similar Event	11/21/10	41.2929191589,-82.2173461914	
11/4/10 17:07	Miamisburg/Centerville	OH	Disk	8 minutes	I was on my way from Cincinnati to Kettering on Interstate 75 going north and I was about 2 to 3 miles south of the exit onto Interstat	3/10/11	39.6395683289,-84.2321624756	
11/1/10 06:57	Roseville	OH	Circle	1 minute	I saw a VERY bright, very slow moving object that I cannot explain that had almost radiating rings of light when I zoomed with my camer	11/21/10	39.809261322,-82.0741195679	
10/31/10 23:30	Cambridge	OH	Formation	5 min.	line of strange blinking lights over eastern Ohio sky	11/21/10	40.0247917175,-81.5901031494	
10/31/10 19:15	Cincinnati	OH	Fireball	4 minutes	Four reddish-orange lights traveling slowly across the sky in Cincinnati, OH	11/21/10	39.1066093445,-84.5045471191	
10/31/10 18:15	Maple Heights	OH	Other		reddish orange clouds over the sky	1/5/11	41.4140701294,-81.5659332275	
10/28/10	Mentor	OH	Cigar	30 seconds	7 cigar shapes over lake Erie	11/21/10	41.6979904175,-81.337272644	
10/22/10 18:47	Perrysburg	OH	Light	30 Seconds	UFO spotted following planes.	11/21/10	41.5567092896,-83.6288986206	
10/22/10 08:00	Reading	OH	Unknown	10 minutes	Four Objects in a diamond shape doing some type of flying formation and hover.	11/21/10	39.2241210938,-84.4417266846	
10/16/10 22:00	Columbus	OH	Unknown	5 minutes	A line of 5-6 red lights moving slowly, not making any noise passed over us. Could not tell if the lights were connected to anything.	11/21/10	39.9619598389,-83.0029830933	
10/15/10 21:15	Cedarville	OH	Unknown	2-3 Mins	Large stationary aerial object hovering in the night sky	11/21/10	39.7432899475,-83.8076629639	
10/13/10 20:00	Cincinnati	OH	Unknown	5 minutes	On 10/13/10, while driving, I saw an unusual nonblinking, stationary light over Cincinnati.	11/21/10	39.1066093445,-84.5045471191	
10/13/10 15:47	Green	OH	Triangle		I captured an unknown metallic flying object on my digital camera photo.	11/21/10	40.9473800659,-81.4652404785	
10/10/10 03:00	Euclid	OH	Circle	3 minutes	2 objects blinking red and white, disappeared into the sky, after hovering around sky for 3 minutes.( over lake erie	11/21/10	41.5992012024,-81.5268173218	
10/9/10 21:15	Port Clinton	OH	Fireball	4 min.	Glowing ball sighted over the Catawba Point waters of Lake Erie	11/21/10	41.5132904053,-82.9418716431	
10/9/10 09:45	Trenton	OH	Light	5 minutes	Two small lights moving towards each other in the sky.	11/21/10	39.4809989929,-84.4600982666	
10/8/10 21:30	Bath	OH	Disk	3 minutes	I am a pilot and have never seen anything like this in the air or while on the ground.	11/21/10	41.1673583984,-81.6368484497	
10/8/10 21:05	Cleveland Heights	OH	Circle	30 seconds	Friend and I were standing outside in cleveland heights. Saw a round orange-like orb moving from South to north; difficult to estimate	11/21/10	41.5191307068,-81.5529403687	
10/5/10 12:00	Ashville	OH	Disk	10-20 sec	((HOAX??))  lights in the field. Five craft, of all different size. Lifted from the field, and took off.	11/21/10	39.7130584717,-82.9549636841	
10/3/10 10:30	Amelia	OH	Changing	5-8 seconds	Bright white object streaking across the front yard then disappearing.	11/21/10	39.0267486572,-84.2158508301	
10/1/10 20:45	Brunswick	OH	Triangle	10 min	Triangle craft with bright light changes colors and moves like helicopter.	11/21/10	41.2382698059,-81.839630127	
9/21/10 19:50	Geneva	OH	Circle	ufo	a sighting	11/21/10	41.8055114746,-80.9468536377	
9/17/10 19:40	Galloway	OH	Other	7-10 min	5 objects with comet tails some still some moving over Galloway OH	11/21/10	39.9140090942,-83.1630783081	
9/17/10 16:30	Kettering	OH	Disk	1 minute	aluminum-type disk with hump.	3/10/11	39.6952514648,-84.1629714966	
9/12/10 04:30	Stow	OH	Triangle	15 min	bright lights hoovering over stow ohio	11/21/10	41.1680183411,-81.4403762817	
9/11/10 22:59	Toledo	OH	Triangle	3 hours	Triangular UFO with red/blue lights hovering for 3 hours, moving in zig zag motion every 2-3 minutes	11/21/10	41.6538085938,-83.5362625122	
9/10/10 23:00	Elyria	OH	Sphere	30 minutes	Bright circular shape, changes colors frequently and did not move.	11/21/10	41.3676795959,-82.1058425903	
9/10/10 01:00	Cadiz	OH	Cigar		blinking lights,  the object  was too large to be an aircraft.  And also did not move at all!	11/21/10	40.2726097107,-80.9966812134	
9/9/10 11:30	Troy	OH	Sphere	45 seconds	A bright metallic ball-like shere was seen around 11:20 am.	11/21/10	40.0398902893,-84.2039031982	
9/7/10 06:45	Lebanon	OH	Light	1 min	i seen a light in the sky that looked like a star. the light started to move and then all of the sudden it was gone. i thought it was a	11/21/10	39.433429718,-84.2095108032	
9/6/10 23:00	Akron	OH	Triangle	40 seconds	quit, triangular shaped but elongated.  Lights on three corners. Huge!	11/21/10	41.0841903687,-81.5140609741	
9/6/10 21:01	Fremont	OH	Light	5 minutes	Two large bright lights in midnight sky.	11/21/10	41.3474006653,-83.1138534546	
9/5/10 22:00	Thornville	OH	Formation	2-3 minutes	10-12 hoovering balls of light	1/31/11	39.8963088989,-82.4210968018	
9/5/10 21:40	Cincinnati	OH	Egg	4 seconds	During the WEBN 2010 Fireworks show a bright white light flys directly thourgh the show and was recorded on my dvr.	11/21/10	39.1066093445,-84.5045471191	
8/28/10 22:00	Mason	OH	Disk	30min	i was looking up at the sky for the international space staion.. and had seen this bright light from the east.. adn it was a constant l	8/30/10	39.3569717407,-84.2976226807	
