DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
6/28/11 17:30	Black River Falls	WI	Fireball	10 minutes	((HOAX??))  White and orange orb hovering over campsite, followed by continued sightings by myself and friends	7/17/11	44.2985723,-90.8470866	
6/27/11 20:10	Milwaukee	WI	Light	7 minutes	2 light colored objects turning color and traveling at rapid rates and turning red and dissapearing.	7/4/11	43.0389025,-87.9064736	
6/25/11 21:00	Mukwonago	WI	Unknown	10 Minutes	Five to Six bright orange colored lights with no sound  seen at 2100 time over Mukwonago, Wisconsin.	6/27/11	46.0638439,-91.1412891	
6/22/11 18:42	Erin	WI	Changing	11 minutes	Same craft has followed or appeared before me 3 times in 2 weeks.	6/27/11	43.2380598,-88.3531518	
6/13/11 02:35	Erin	WI	Changing	28 minutes	I saw a shape-shifting multi-colored unknown craft, hovering stationary.	6/20/11	43.2380598,-88.3531518	
6/4/11 21:30	Menasha	WI	Unknown	5-10 minutes	Red and White lights form in a circle near North end of Lake Winnebago	6/12/11	44.2113752,-88.4384414	
5/25/11 01:24	Delafield	WI	Formation	8.2 minutes	Five spherical objects motionless above the tree line.	5/29/11	43.0697307,-88.3920409	
5/15/11 23:10	East Troy	WI	Triangle	15 minutes	Red, white, green flashing lights, followed by a triangle shaped slow moving object that hovered over lake	5/29/11	42.8027923,-88.3612057	
5/5/11 11:41	Amery	WI	Light	constant!	They are still here! Two days!	5/12/11	45.3046841,-92.3632481	
5/3/11 23:30	Amery	WI	Light	hours	Lights thought to be satellites making impossible movements	5/12/11	45.3046841,-92.3632481	
4/1/11 00:02	New Berlin	WI	Other	12 min	Starburst over New Berlin	4/3/11	42.9727914,-88.1292563	
3/29/11 21:00	Fond du Lac	WI	Triangle	2 - 3 seconds	Very fast moving rounded point triangle with fixed and dimly lit  round glowing area near each corner	4/3/11	43.756378,-88.4689955	
3/25/11 22:00	Tomahawk	WI	Circle	5 seconds	Neon green circle dropping out of the sky.  By the time I got closer to the window, it was now behind the trees out of sight.	5/2/11	45.7966207,-89.6379211	
3/23/11 22:00	Eau Claire	WI	Triangle	Several hours	Mostly stationary triangle crafts over Eau Claire Wed 2/23/11	4/3/11	44.8141268,-91.4965497	
3/11/11 05:10	Appleton (Lawrence University)	WI			Time:  5:10 am, Friday, March 11, 2011 I observed a formation of yellow-orange lights flying silently in an easterly direction above my	3/23/11	44.271931,-88.3976066	
3/11/11 00:08	Baraboo	WI	Unknown	1.5 seconds	One craft, every color, low, horizon to horizon in one second.	3/23/11	43.4685944,-89.7415129	
3/6/11 17:10	Oneida	WI	Light	45 seconds/1 min	White light in the sky, left to right instant turns, flew over changed colors and dissapeared.	3/10/11	45.6282923,-89.6290272	
2/19/11 05:23	Milwaukee	WI	Triangle	10-20-30 minutes	((HOAX??))  a very erie in Wisconsin & above in the sky in Milwaukee.  I am one of the few who stays up looking out my window	2/23/11	43.0389025,-87.9064736	
2/14/11 19:20	Winneconne	WI	Light	30 seconds	Possible UFO over east central Wisconsin	2/18/11	44.1438706,-88.7301107	
2/2/11 18:20	Janesville	WI	Flash	at least 15 min	On our deck on the outskirts of Janesville, we observed one flashing object.  ((NUFORC Note:  Sirius??  PD))	2/8/11	42.6847329,-89.0156667	
1/20/11 07:00	La Crosse	WI	Cigar	> 30 min	We saw a white lighted, horizontally oriented object moving very slowly.	1/31/11	43.8269106,-91.234026	
1/15/11 21:30		WI	Fireball	30 Seconds	((HOAX??))  Angel-like appearance.	2/23/11	47.328733609,-75.890992894	
1/14/11 00:24	Pewaukee	WI	Unknown	10 minutes	An object is sighted hovering in place over my car for 10 min; during this time it shifts shape, color, makes a huge noise and leaves.	1/31/11	43.0647323,-88.243704	
1/10/11 18:35	Madison	WI	Oval	15 seconds	hovering object with bright lights in sky- suddenly disappears	1/31/11	43.0730517,-89.4012302	
1/4/11 20:05	Powers Lake	WI	Fireball	5 minutes	Three large fireballs hovering in the sky for at least 5 minutes, then raced to the south.	1/5/11	42.547518,-88.2973144	
1/2/11 21:33	Arlington	WI	Triangle	5 minutes	While driving home, we saw a low flying triangular shaped aircraft, with lights that hovered, changed directions, and moved silently.	1/5/11	43.3352663,-89.4134517	
12/29/10 01:30	Chippewa Falls	WI	Oval	20 Minutes	A large oval craft with four large (house sized) yellow lights coming out of the side.	1/31/11	44.932461,-91.3912681	
12/10/10 10:08	Boscobel	WI	Circle	hours	Over Boscobel, Wisconsin  3 blue and red flashing objects staying in one place in the sky	1/5/11	43.1397065,-90.7045711	
12/10/10 04:30	Rice Lake	WI	Circle	7  min	A bright green glowing circle	1/31/11	45.8118996,-89.2579076	
11/8/10 22:30	Fond du Lac	WI	Other	2 min	Red lighted, silent, bowl shaped craft seen floating near college in wisconsin	11/21/10	43.756378,-88.4689955	
10/9/10 20:30	Adams County	WI	Circle	2 minutes	Silent orange UFO spotted traveling in the sky, then changing direction.	11/21/10	43.9552488,-89.8170706	
10/6/10 09:30	Appleton	WI	Light	2 minutes	I was walking with my friend as we were taking the dog out. As I go to catch up with him, he spots this bright bulb of light that seeme	11/21/10	44.271931,-88.3976066	
10/6/10 08:38	Madison	WI	Oval	3 seconds	3 high altitude redish purple lights that moved oddly across the nights sky.	11/21/10	43.0730517,-89.4012302	
10/2/10 22:55	Twin Lakes	WI	Cigar	15 seconds	Navy blue lighted wide object appeared over Twin Lakes Wisconsin and disappeared behind trees.	11/21/10	43.9852708,-87.930926	
10/1/10 08:30	Middleton	WI	Other	3 minutes ?	Glowing orange barrel-shaped objects in sky over town of Middleton, WI	11/21/10	43.1027728,-89.5065098	
9/30/10 21:55	Grafton	WI	Triangle	7 seconds	Delta shaped body glowing in a misty or foggy golden white light  flying above at a high rate of speed	11/21/10	43.3255598,-87.9231444	
9/30/10 19:00	Burlington	WI	Diamond	1 hour	Flashing Lights Moving and Stationary In the South to Northwest Sky	11/21/10	42.6783503,-88.2770359	
9/29/10 20:25	Brookfield	WI	Circle	3 minutes	Strange round flaming orange/gold craft flying in the sky	11/21/10	43.0627891,-88.1198123	
9/14/10 21:30	Brookfield	WI	Sphere	40 Minutes	3 orange spheres moving througout the sky in various directions for 40 minutes	11/21/10	43.0627891,-88.1198123	
9/5/10 21:24	Elkorn	WI	Unknown	40 seconds	Orange light travels in straight trajectory north over county fair in Wisconsin.	11/21/10	
9/4/10 18:30	Watertown	WI	Sphere	10 sec	silver sphere vanished before my eyes	11/21/10	43.1827772,-88.7245472	
9/3/10 19:55	Kenosha	WI	Other	5 seconds	V-Shaped object, no lights, flew in straight line at extreme speed	11/21/10	42.5841868,-87.85452	
8/29/10 00:30	Milwaukee	WI	Unknown	10 min	multicolored lights, random fast movement, hovering, blinking	8/30/10	43.0389025,-87.9064736	
8/16/10 23:10	Brookfield	WI	Light	30 sec	Me and my co-worker saw a string of 7 lights.  I thought it was a promotional thing some local business was doing, but the lights rotat	8/24/10	43.0627891,-88.1198123	
8/16/10 21:00	White Lake	WI	Light	2 hrs	Multiple LARGE red/orange lights flying irratically	8/24/10	45.4516242,-92.3132475	
8/15/10 19:30	Whistling Straits	WI	Disk		Pink saucer seen over Whistling Straits, Wisconsin.	8/24/10	
8/13/10 00:53	Pulaski	WI	Unknown	2 mins	Bright flashes in sky	8/24/10	45.3366308,-91.279319	
8/11/10 22:00	Algoma	WI			08/11/2010  2200: Algoma wi. 15 29 seconds two blew lights going down into Lake Michigan.	3/10/11	44.6058327,-87.4456446	
8/8/10 21:40	Fond du Lac	WI	Circle	1 - 1.5 minutes	very bright and silent light traveling across sky that camera captured as red and white bobber looking object.	8/24/10	43.756378,-88.4689955	
8/8/10 17:55	Waukesha	WI	Circle	30Seconds	Red/Yellow blinking/flickering light with unpredictable flight path	8/24/10	43.0125116,-88.2384259	
8/6/10 22:15	Sturgeon Bay	WI	Light	5 seconds	Brief moving light, turned off as if on a dimmer switch	8/24/10	44.8216643,-87.3684303	
8/6/10 21:30	West Bend	WI	Fireball	45-60 seconds	Fireball in the sky	8/24/10	43.4227777,-88.1842611	
