DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/30/10 19:19	Woods Cross	UT	Light	20 minutes	Orange Cigar Shape bright light after sunset west of Woods Cross Utah Light	11/21/10	40.8738594055,-111.902030945	
9/24/10 01:15	Roy	UT	Unknown	5 Minutes	Repetitive meteor style lights in a group flying over Utah's Hill Air Force Base then disappearing.	11/21/10	41.1725883484,-112.026016235	
9/6/10 20:15	Willard	UT	Light	3-5 minutes	Curiously suspended lights in Box Elder County, UT	11/21/10	41.4081687927,-112.037490845	
9/4/10 21:30	Salt Lake City	UT	Circle	20 seconds	two round star-like objects falling and moving to the North at a very fast speed	11/21/10	40.7594985962,-111.88822937	
9/2/10 21:35	Bountiful	UT	Formation	6-8 seconds	Same formation of lights seen again.	11/21/10	40.8817405701,-111.878387451	
9/1/10 21:20	West Jordan	UT	Circle	About 3 minutes	Reddish-Orange Light seen in sky and circular craft seen taking off into the sky.	11/21/10	40.6067504883,-111.938751221	
8/29/10 21:35	Bountiful	UT	Light	10 seconds	Rapidly moving formation of lights.	11/21/10	40.8817405701,-111.878387451	
8/26/10	Park City	UT	Circle	2 minutes	Bright laser type lights and a craft in my backyard area last night.	8/30/10	40.6431388855,-111.493972778	
8/25/10 22:06	Cottonwood Heights	UT	Sphere	5 minutes	A  bright sphere like object that appeared out of nowhere.	8/30/10	40.6260986328,-111.856163025	
8/22/10 16:45	Washington	UT	Unknown	2 minutes	Was photgraphing clouds and didn't see object until I was looking at the photos on my computer.	8/24/10	37.1302680969,-113.509376526	
8/21/10 10:30	Lehi	UT	Cigar	0:30	((HOAX??))  We saw a 3 light saucer pass by and the saw a two saucer pass over and split apart and disappear.	8/24/10	40.3896598816,-111.847473145	
8/10/10 21:40	Highland	UT	Light	Maybe an hour	Odd lights in the sky over Utah Valley.	8/24/10	40.4209213257,-111.787727356	
8/4/10 22:00	Provo	UT	Disk	10 seconds	Hovering object during a thunder storm and rain.	8/24/10	40.2337608337,-111.668510437	
7/27/10 23:00	Orem	UT	Changing	5 minutes	We saw a group of about 12 dim lights moving together in the night sky in a graceful fluid pattern.	7/28/10	40.2980499268,-111.695411682	
7/27/10 00:10	Salt Lake City	UT	Triangle	2 Minutes	Orange "flaming" Triangle over Salt Lake City dissappears	7/28/10	40.7594985962,-111.88822937	
7/27/10 00:10	Salt Lake City	UT	Triangle	2 Minutes	Possible explainations of what i saw in Salt Lake City last night	7/29/10	40.7594985962,-111.88822937	
7/21/10 23:37	Salt Lake City	UT	Unknown	4 seconds	Faint glowing large object streaks the night sky over Salt Lake City only leaving a trail	7/28/10	40.7594985962,-111.88822937	
7/17/10 22:00	Lehi	UT	Light	10 minutes	Strange light in sky moving erratically, stopping abruptly and changing directions.	8/24/10	40.3896598816,-111.847473145	
7/15/10 10:00	Provo	UT	Disk	5 seconds	I was driving Southbound I-15 between Provo and the first Springville exit by myself talking on the phone.  I looked up and out my wind	7/19/10	40.2337608337,-111.668510437	
7/9/10 22:00	Provo	UT	Flash	~1 hour	Rapid strobe-like flashes behind clouds in the night sky.	7/10/10	40.2337608337,-111.668510437	
6/23/10 03:00	Ogden	UT	Light	1/2 hour	Light in Utah sky moving erratically.	7/6/10	41.2223587036,-111.970458984	
6/14/10 23:18	Salt Lake City	UT	Light	10 seconds	Bright light over Western Salt Lake moves across the sky then vertically and disappears.	6/23/10	40.7594985962,-111.88822937	
6/14/10 22:00	Cleveland	UT	Unknown	28 secs.	You can see the engines or where you would think engines would be clearly lite up on the underside.	10/10/11	39.350818634,-110.851951599	
6/6/10 23:20	Sandy	UT	Unknown	10 minutes	Sandy, Utah light  10 minutes 3 light objects travelling South to North 1 travelling East to West seemingly on collission course with 1	6/10/10	40.5700798035,-111.895141602	
5/30/10 22:30	Draper	UT	Circle	45 min or longer	Two bright circles soaring independently through the sky, one remained bright green while the other changed from  white to blue to red	6/3/10	40.5241394043,-111.866271973	
5/14/10 21:35	Cedar City	UT	Light	2min	stead single white dot heading southeast then rose straight up and vanished	6/3/10	37.6779518127,-113.061759949	
4/23/10 21:30	Ogden	UT	Light	3-5 seconds	White light over Ogden, Utah	5/12/10	41.2223587036,-111.970458984	
3/12/10 21:23	Ogden	UT	Light	approx  18 min	10-20 orange spheres of light viewed by 8 witnesses from Ogden, Utah in the evening .	4/13/10	41.2223587036,-111.970458984	
12/3/09 06:30	St. George	UT	Light	10 seconds	Flashed like igniting twice then sped off super sonicly.	12/12/09	37.1090698242,-113.583297729	
11/18/09 00:21	Sandy	UT	Flash	4-5 seconds	Bright flash that seemed to be expanding from a moving light source.	12/12/09	40.5700798035,-111.895141602	
