DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/26/10 19:00	Audubon	IA	Oval	3 hours	Three different bright lights that did not move, yet when seen with binoculars had red blinking lights.  ((NUFORC Note:  Stars??  PD))	11/21/10	41.7183189392,-94.932800293	
9/25/10 03:00	Cedar Rapids	IA	Circle	2-3 minutes	UFO over Cedar Rapids	11/21/10	41.9763412476,-91.6737594604	
9/7/10 02:30	Mt. Pleasant	IA	Triangle	120	Triangular craft moving very fast in odd directions.	11/21/10	40.9655990601,-91.5544204712	
8/28/10 11:45	Des Moines	IA	Light	Aprox. 10 minutes	Solid and silent red light flying over Des Moines, Iowa.	11/21/10	41.5897903442,-93.6156616211	
8/27/10 21:30	Hiawatha	IA	Circle		we saw a circle aircraft moving west at 20 mph fly only 200 yards off the ground.	8/30/10	42.0374717712,-91.6718215942	
8/10/10 00:00	Washington (west of)	IA	Diamond	30-45 mins didnt get to w	Hovering lights in western sky, Washington, Iowa	8/24/10	41.2964286804,-91.6911621094	
8/8/10 21:00	Dubuque	IA	Light	felt like 10 mins but tim	Two Orange Spheres moments apart, followed by smaller moving star like object, which became two lights moving together from another dir	8/24/10	42.499130249,-90.663269043	
7/31/10 22:00	Waukon (15 miles SE of)	IA	Unknown	5 mins	Triangular/V-shape UFO spotted over North East Iowa.	8/24/10	43.269241333,-91.4757080078	
7/19/10 22:20	Merrill	IA	Diamond	2 minitues	Red/Bluish colored lights over Merrill Rural Areas.	7/28/10	42.7198905945,-96.2492599487	
7/17/10 23:00	Boone	IA	Disk	30 min	Flying obects in ia sky	7/19/10	42.0593299866,-93.9019699097	
7/16/10 22:12	Carter Lake	IA	Sphere	5 minutes	One brilliantly illuminating ball of light that float over our heads and shorty afterwards, vanished before our eyes.	8/24/10	41.2849388123,-95.9171295166	
7/7/10 22:10	Davenport	IA	Changing	10 seconds	A green heat light traveling east to west.	7/10/10	41.5382614136,-90.5764007568	
7/4/10 22:15	Polk City	IA	Disk	10 Minutes	Unusual light in sky 7/4/10 from Saylorville campground.	7/19/10	41.7715110779,-93.7141494751	
7/4/10 21:55	Polk City	IA	Other	5 mins total	I was walking my dog before the 10:00 news, looked up at the sky and saw an orange glowing object.	7/10/10	41.7715110779,-93.7141494751	
7/3/10 22:00	Bonaparte	IA	Fireball	5 to 15 min.	On july 3 2010 around 22:00 just before the fireworks show a orange and red orb just appeared over the des moines river and floated sou	7/10/10	40.6996116638,-91.8015670776	
7/2/10 18:00	Audubon	IA	Oval	4 Hours	White bright light changing into an orange red light that flew back and forth, and then was gone.	7/6/10	41.7183189392,-94.932800293	
6/30/10 23:45	Sioux City	IA	Light	15 seconds	Strange disappearing / re-appearing object over Sioux city	7/6/10	42.4998092651,-96.4209365845	
6/24/10 22:15	Waukee	IA	Light	120seconds	Bright Zig-Zagging Light over Des Moines, 6/24/10	7/6/10	41.6117095947,-93.885597229	
6/17/10 20:00	Perry	IA	Cylinder	15 - 20 min	36 bright objects flying across the sky in a short amount of time	6/23/10	41.8385505676,-94.1055221558	
6/11/10 22:15	Bettendorf	IA	Triangle	1:30	three points of white light (triangle shape), no sound and very low directly above my house moving at maybe 70-80 knots	6/23/10	41.5259017944,-90.4956283569	
5/31/10 15:00	Campo	IA	Disk	unknown	Campo Colorado tornado photo	7/6/10	42.0746307373,-93.5000534058	
5/29/10 22:44	Iowa City	IA	Changing	:30	Iowa city group of lights	6/3/10	41.6578216553,-91.5265274048	
5/29/10 22:30	Fonda	IA	Sphere	Every Night	The object changes colors and moves.  ((NUFORC Note:  Probably a celestial body.  PD))	6/3/10	42.5807800293,-94.845993042	
5/13/10 22:30	Burlington	IA	Light	2:00	An object flew over my house  it looked like a regular star but it was moving very fast no flashing lights	6/3/10	40.8119888306,-91.1007766724	
5/12/10 21:00	Keokuk	IA	Light	10 sec	We were just sitting there at my brothers right after dark. When we saw what look like a light larger then any star in the sky. It appe	5/12/11	40.3969612122,-91.3845596313	
5/7/10 22:20	Woodward	IA	Triangle	25 mins	Triangle shaped object hovering for extended period of time and then finally vanished.	5/12/10	41.8542098999,-93.9220581055	
4/14/10 22:15	Hiawatha	IA	Fireball	10 seconds	Bright turqouise fireball rapidly descending at 15-20 degrees erupts into bright light and dissapears.	5/12/10	42.0374717712,-91.6718215942	
