DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
5/17/06 00:30	Washington, D.C.	DC	Triangle	10 seconds	black triangular object with three red lights underneath it flying over DC	7/16/06	38.8951118,-77.0363658	
4/16/06 23:00	Washington, D.C.	DC	Triangle	20 minutes	This is my second report of these Triangular shapped flying objects with red flashing lights.  This second sighting compelled me to rep	7/16/06	38.8951118,-77.0363658	
4/5/06 00:45	Washington, D.C.	DC	Oval	1.5  min	Large object covers the moon	5/15/06	38.8951118,-77.0363658	
3/17/06 09:00	Caracas (Venezuela)	DC	Disk	35 sec	El objeto despego a alta velocidad dejando una estela, era de mañana en un dia muy claro, aproximadamente a unos 10 km de distancia del	5/15/06	
2/15/06 04:15	Washington, D.C.	DC	Formation	30 seconds	a formation of dimly glowing objects...maybe birds?  Very odd.	3/11/06	38.8951118,-77.0363658	
12/6/05 20:40	Washington, D.C.	DC	Formation	2 minutes	I witnessed a series of lights traveling from the north (heading south) over the nation's capital from my apartment balcony. At first I	12/16/05	38.8951118,-77.0363658	
8/14/05 14:02	Mexico	DC	Cone	10 minutes	This sigthtin occurs a day after a sismologic event in mexico city, the ufo was seen in an area called mexican volcanos, a common area	9/15/05	38.9001117,-77.0505327	
7/27/05 06:30	Washington, D.C.	DC	Disk	25 Minutes	U.F.O. Reported in Washington D.C.	9/2/05	38.8951118,-77.0363658	
5/22/05 22:00	Washington, D.C.	DC	Light	still going on. its now 1	Unidentified Light circling houses	5/24/05	38.8951118,-77.0363658	
12/11/04 19:00	Washington, D.C.	DC	Unknown	unknown	Possible UFO seen in skies over nation's capital	12/14/04	38.8951118,-77.0363658	
12/9/04 03:00	Washington, D.C.	DC			this being was observed in the city.  ((NUFORC Note:  Bizarre creature apparently witnessed by sec. guard in Washington, D.C..  PD))	1/11/05	38.8951118,-77.0363658	
12/8/04 23:00	Washington, D.C.	DC	Other		In the air flying very low 20 feet above tree line. No sound at all. Moving from north to south. looked like a flat dark hangglyder typ	12/14/04	38.8951118,-77.0363658	
10/31/04 20:00	Washington, D.C.	DC	Light	10-15 seconds	3-4 crazy star-like objects moving at very high speeds and direction change. defies convention. I saw over D.C!	1/19/05	38.8951118,-77.0363658	
