DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
11/6/09 07:00	Gulfport	MS		05:00	to the east in the 10:00 position seen 3 lights sorounding an airplane ,thought to be flying stars ,but when one started zigzagin an th	12/12/09	30.3803195953,-89.0923461914	
10/1/09 22:30	Belmont	MS	Triangle	2MINS	Triangular object with 3 lights, one in middle blinking.	12/12/09	31.5716094971,-88.4825515747	
9/23/09 18:00	Flowood	MS	Other	10 min	Saw odd shaped object in sky in daylight.	12/12/09	32.3117218018,-90.1399383545	
9/15/09 21:00	Pass Christian	MS	Sphere	Approx. 1 hour	Stationary orange lights appear then fade away after a few seconds off MS Gulf Coast.	12/12/09	30.3245105743,-89.2179489136	
8/12/09 04:20	Grenada	MS	Unknown	30 sec	"Satellite" stops, flases and disappears	8/27/09	33.7839889526,-89.8098526001	
7/25/09 22:00	Union	MS	Light	10 seconds	A brilliant starburst light in the night sky which moved away from the three witnesses at an unbelievable speed.	8/5/09	32.5713310242,-89.1219100952	
7/17/09 23:00	Woodville	MS	Circle	8 min.	Circular florescent pulsating light.	8/5/09	31.1040992737,-91.2978134155	
7/17/09 21:00	Woodville	MS	Unknown		Observed bright flashing lights in sky over highway in rural area.Observers male and female in mid and late twenties.	8/5/09	31.1040992737,-91.2978134155	
6/25/09 20:18	Southaven	MS	Disk	10 minutes	Disc Shape Hovering in Southaven MS	8/5/09	34.9879417419,-90.0048522949	
5/25/09 09:15	Byram	MS	Triangle	5	Triangle ufo in mississippi shoots out laser	8/5/09	32.178730011,-90.2455368042	
5/12/09 22:45	Long Beach	MS	Oval	30 sec.	Two reddish lights following one another at a very high rate of speed,following the mississippi coast line.	6/9/09	30.3536090851,-89.1472702026	
5/1/09 05:10	Carson	MS	Sphere	10min	same as 4/3/09 	Sumrall, Ms	6/9/09	31.537979126,-89.7949371338	
4/16/09 23:30	Hernando	MS	Rectangle	approx. 30 seconds	Stealthy rectangular object seen over Hernando, MS	5/12/09	34.8235282898,-89.9972610474	
4/3/09 20:30	Sumrall	MS	Sphere	1 hour, 10 min	Witnesses sighting of large ufo with 4 smaller crafts moving near by.	4/14/09	31.419260025,-89.5458221436	
4/1/09 23:40	Kosciusko	MS	Triangle	45 seconds	3 triangular shaped objects "gliding" over the house.  All 3 had this orange-white transparent glow.	8/5/09	33.0647392273,-89.5902633667	
3/20/09 21:45	Harrisville	MS	Triangle	1 to 1mn 30 sec	triangle shape,lights at each point underneath, red light rear green front, alt. 200-300ft., speed appx 40mph.	4/14/09	31.9722995758,-90.0777511597	
2/23/09 09:00	Brandon	MS	Oval	60 min	The objects were an oval shape lights. The moved in and out of the sky then they started to break off from a bigger light.	3/19/09	32.2731208801,-89.9886398315	
1/22/09 21:04	Byhaila	MS	Light	10 seconds	bright blue orb that moved away very fast then disapeared	3/19/09	34.8693199158,-89.6886367798	
1/22/09 19:10	Ocean Springs	MS	Light	3 minutes	Strange lights - NO Way a man-made craft	3/19/09	30.4162807465,-88.8081436157	
1/22/09 18:45	Gautier	MS	Fireball	10 minutes	an orange fireball in the sky then 2 oblong forms with orange rotating lights, within a 10 minute time frame	3/19/09	30.3918895721,-88.6517410278	
1/9/09 17:45	Southaven	MS	Formation	20 minutes	5 BRIGHT WHITE ORBS THAT CHANGED IN FORMATION	1/10/09	34.9879417419,-90.0048522949	
1/7/09 20:23	Collinsville	MS	Light	25 min	Group of people see, photograph, a bright object in sky.   ((NUFORC Note:  We have requested more information.  PD))	1/10/09	32.4983100891,-88.8457183838	
12/2/08 17:30	Jackson/Clinton	MS	Other	30 minutes	Bright light over the Jackson area	1/10/09	32.3056106567,-90.335609436	
11/24/08 17:00	Batesville	MS	Chevron	15 sec	boomarang shape	1/10/09	34.3172111511,-89.9533691406	
11/12/08 19:23	Brandon	MS	Unknown	2 minutes	Loud hot air balloon noise heard in the dark of night.	1/10/09	32.2731208801,-89.9886398315	
10/19/08 23:09	Laurel	MS	Light	5 days	Lights captured on wild game camera.	1/10/09	31.6967906952,-89.1351776123	
10/1/08 06:30	Iuka	MS	Oval		I was in shock	2/14/10	34.8154602051,-88.1975326538	
9/29/08 19:20	Meridian	MS	Other	12 - 25 seconds	Two of us saw a flying triangular gray illuminated object above our house and yard.	10/31/08	32.3650817871,-88.7030792236	
9/10/08 22:30	Tupelo	MS	Sphere	15 sec.	Strange Lights In Tupelo	10/31/08	34.2574081421,-88.7078323364	
8/22/08 19:45	Pass Christian	MS	Fireball	10 seconds	We saw a bright green light fall from NW to SE very quickly.	10/31/08	30.3245105743,-89.2179489136	
7/30/08	Laurel	MS	Unknown	1 hour	flashing lighits   blast    and some kind off craft     and was moving fast took pics at home and 7 miles away. they te same	8/12/08	31.6967906952,-89.1351776123	
7/23/08 22:00	Gulfport	MS	Disk	1 hour	sitting in the woods at night with a friend i was biking with, a silver orb with a ring of different colored lights appeared	8/12/08	30.3803195953,-89.0923461914	
6/12/08 18:00	Gloster	MS	Circle	About 2 minutes	2 nearly vertical contrails seen.	7/5/08	31.1987991333,-91.0119018555	
6/8/08 22:40	Purvis	MS	Other	15-20 minutes	Stars in Baton shape floated from Southwest to the North	6/12/08	31.1432094574,-89.4116134644	
6/8/08 00:00	Yazoo City	MS		2-3 min	At 12:05 AM on June 8 My wife and were Northbound on MS Hwy 3 approximately 10 miles South of Yazoo City when we observed a Bright Stro	6/12/08	32.8478012085,-90.4150390625	
6/5/08 00:30	Olive Branch	MS	Flash	45 minutes	Strange sightings over north Mississippi	6/12/08	34.9612808228,-89.8270797729	
5/12/08 22:30	Mt.Olive	MS	Triangle	2to3min	One night when my wife and I were letting our two dogs out before we were going to bed, she saw somthing and yelled for me to come here	8/12/08	32.7106018066,-89.6525421143	
4/26/08 20:30	Vicksburg	MS	Flash	10seconds	2 bright lights moving at a high rate of speed over Vicksburg,MS	6/12/08	32.3500404358,-90.8815536499	
4/21/08 00:00	Amory	MS	Circle		it was a ufo	5/12/09	33.9858283997,-88.4895935059	
4/4/08 21:00	Carriere	MS	Light	2 hours	same flashing light, doing the same thing, 3rd time this week,  ((NUFORC Note:  Possible sighting of Sirius??  PD))	4/17/08	30.6221199036,-89.6530990601	
3/28/08 21:20	Carriere	MS	Light	10 minutes	flashing light in northeastern sky  ((NUFORC Note:  One of four reports from same source.  Sighting of Sirius??  PD))	3/31/08	30.6221199036,-89.6530990601	
2/29/08 17:45	Jackson	MS	Changing	5-10mins	((HOAX??))  White, changing shape three big UFO's nine small UFO's.	4/17/08	32.2986907959,-90.1804885864	
2/28/08 18:30	Gulfport	MS	Light	5-10 sec.	Bright Light in Gulf Coast Mississippi sky	3/4/08	30.3803195953,-89.0923461914	
2/6/08 22:00	Gulfport	MS	Circle	5 minutes	Circular shaped object in Gulfport, MS.  Appeared to have bright white lights around the 3 sides we could see.	2/14/08	30.3803195953,-89.0923461914	
1/15/08 18:00	Carriere	MS	Other	60sec	4 lights in a row  out front of 3 bright lights at rear flying low and slow (maybe 1000 ft) and no sound.	1/21/08	30.6221199036,-89.6530990601	
1/2/08 21:00	Hattiesburg	MS	Other	About 5 minutes	Strange craft covered in lights split into two parts	6/12/08	31.3273506165,-89.2907104492	
12/12/07 14:00	Benton	MS	Cylinder	50  seconds	Very large and long  rusty bolt type craft came through the clouds in broad daylight.	10/31/08	32.8270187378,-90.2602767944	
11/30/07 17:30	Sandy Hook	MS	Other	2 seconds	strange brown shape in the daylight sky	6/12/08	31.0265407562,-89.8009109497	
11/15/07 19:00	Sandy Hook	MS	Sphere	3 minutes	Large round white object that shone like swimming pool water at night with three spinning red lights on the bottom, which made me think	6/12/08	31.0265407562,-89.8009109497	
11/14/07 20:30	Biloxi	MS	Triangle	30 seconds	Triangular object in Biloxi, MS above I-10	11/28/07	30.3943805695,-88.8963775635	
11/14/07 17:30	Gulfport	MS	Fireball	Seconds	Bright Green Ball Falls From Sky (and other sightings)	3/4/08	30.3803195953,-89.0923461914	
11/13/07 20:45	Sumrall	MS	Triangle	5 min	Triangle shaped craft producing no sound in my back yard.	11/28/07	31.419260025,-89.5458221436	
11/12/07 20:30	Pass Christian	MS	Light	30+ Minutes	Star like, Red/Green/White, moving in sky.  ((NUFORC Note:  Possibly satellites??  PD))	11/28/07	30.3245105743,-89.2179489136	
10/13/07 01:30	VanCleave	MS	Unknown	3 Hours	Brilliant object that changed colors, Green, Red, Blue and Yellow. 10/13/2007	11/28/07	30.5406894684,-88.6876602173	
10/7/07 01:15	Poplarville	MS			Regarding the 10/7/07 Poplarville,MS sighting reported previously BRIGHT LIGHT IN THE SKY  ((NUFORC Note: Probably a star, perhaps Siri	11/28/07	30.8440303802,-89.5355377197	
10/7/07 01:01	Poplarville	MS	Light		BRIGHT LIGHT IN SKY  ((NUFORC Note:  Probably a star, perhaps Sirius, we believe.  PD))	10/8/07	30.8440303802,-89.5355377197	
9/29/07 06:30	Byhalia	MS	Disk	15 seconds	On September 29th 2007, around 6:30P.M.,Myself and my Wife were traveling west on Highway 78 in Byhalia Mississippi. The Sun was bright	10/8/07	34.8693199158,-89.6886367798	
9/16/07 03:00	Greenwood	MS	Triangle	5 seconds	At approximately 03:00 I saw a triangle shaped object with no light visable traveling southwest in a clear sky	10/8/07	33.5171089172,-90.1804275513	
