DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
7/7/06 01:40	Max	ND	Other	30 minutes	awakened by a glow of bright light I was transformed to a fufilled man	3/4/08	47.819190979,-101.292381287	
4/17/06 00:00	Grand Forks	ND	Circle		UFO looked black and moved very slow with no lights and was circular	5/15/06	47.924079895,-97.0320281982	
4/17/06 23:00	West Fargo	ND	Circle	3 seconds	Small blue light traveling quickly across the sky.	5/15/06	46.8725395203,-96.8848419189	
1/4/06 05:00	Grand Forks	ND	Light	3 seconds	The sky turned green and electricity went haywire!	2/14/06	47.924079895,-97.0320281982	
7/8/05 10:15	Fargo	ND	Egg	10 minutes	slow-moving cigar/egg shaped object seen above Fargo	12/16/05	46.8759117126,-96.7817611694	
7/3/05 23:00	Underwood	ND	Light	2 hours	4 white lights at high altitude	7/5/05	47.4586906433,-101.132553101	
5/28/05 02:00	Tuttle	ND	Disk		A 16 year old girl sights saucer in Tuttle ND.	6/20/05	47.1409492493,-99.9973373413	
2/25/05 22:20	Glen Ullin	ND	Chevron	45minutes	sighting in western north dakota	4/16/05	46.8112411499,-101.828872681	
11/14/04 21:45	Max	ND	Flash	5 minutes	Flashing lights moving quickly in the sky	12/3/04	47.819190979,-101.292381287	
11/9/04 06:20	Minot	ND	Fireball	5 seconds	Green fireball near Minot, ND	12/3/04	48.2361106873,-101.296066284	
9/15/04 21:45	Jamestown	ND	Triangle	45 minutes	Rotating triangular lights fly overhead, stops and hovers in sky for 30 min before taking off at extremely high speeds.	3/19/09	46.9100799561,-98.7085266113	
9/15/04 02:00	Minot	ND	Other	2 minutes	An amber colored, tylenol shaped something above our house in North Dakota.	6/12/08	48.2361106873,-101.296066284	
8/14/04 04:15	Bismarck	ND	Circle	1 hour	Large circular object with ports or windows giving off blue green to white lights extremely large, no movement. (Venus??))	8/24/04	46.8053703308,-100.779312134	
8/12/04 00:00	Fort Yates	ND	Unknown	3 hours	UFO charged couple, raced at them and played with them for a few hours.	8/24/04	46.0884819031,-100.628433228	
8/8/04 15:30	Fargo	ND	Cigar	1 second	Large, bright silvery object moving very rapidly inside chemtrail.	8/11/04	46.8759117126,-96.7817611694	
6/26/04 00:20	West Fargo	ND	Triangle	5 seconds	triangular craft in west fargo, ND	7/8/04	46.8725395203,-96.8848419189	
1/13/04 15:00	North Dakota (over, inflight)	ND	Other	10 minutes	Short markings in sky. Looked like black line segments.	3/2/04	46.9236335754,-97.5542907715	
12/1/03 05:00	Dickinson	ND	Triangle	10 seconds	Triangular UFO with lights on the exterior	12/9/03	46.8790092468,-102.790588379	
11/28/03 23:45	Bismarck	ND	Other	20 minutes	We spotted unusual bright lights and drove to investigate.  It came towards our vehicle as if it were going to hit us.	12/9/03	46.8053703308,-100.779312134	
8/24/03 14:42	Wahpeton	ND	Light	15 SECONDS	AN ORANGE LIGHT THE SIZE OF A STAR IN THE SKY THAT FLASHED, LEFT, CAME BACK AND LEFT FOR GOOD	8/28/03	46.2639083862,-96.6047286987	
8/24/03 02:00	Minot	ND	Oval	5 SECONDS	Oval object with 3 lights flew over town.	7/16/06	48.2361106873,-101.296066284	
8/22/03 22:30	Minot (Burlington actually but put minot bc its 7 miles a)	ND	Oval	7 seconds	Oval  , Yellow- Orange   craft seen fly  rapidly  from NNW to zenith then to the east and vanish	3/2/04	48.2361106873,-101.296066284	
8/2/03 22:52	Tioga	ND	Disk	2 minutes	5 of us saw it on top of a roof, looks like a star and moves faster than an airplane....then vanishes.	8/4/03	48.3938407898,-102.928009033	
7/30/03 22:50	Tioga	ND	Unknown	30 minutes	A blue light that moved fast in the sky then slowed rapidly turned red and then faded.	8/1/03	48.3938407898,-102.928009033	
1/16/03 16:30	Wildrose	ND	Triangle	25 min	made a humming buzzing noise grey in collor got withen an 1/8 of a mile from it.	3/21/03	48.633190155,-103.189750671	
12/24/02 22:00	Hebron	ND	Light	4-5 min.	bright white light took off away from my location at  increadible speed.	8/5/09	46.9010887146,-102.042953491	
11/19/02 05:00	Mercer	ND	Disk	15 mins	There's lights in sky out there and no one is doing nothing about it .. Are really being invaded?	12/23/02	47.490650177,-100.711791992	
8/30/02 23:00	Dickinson	ND	Triangle	2 minutes	Three points of light similar to a satelite forming a triangle gliding across rthe sky with consitant light intensity staying on course	9/6/02	46.8790092468,-102.790588379	
2/20/02 22:15	Hickson	ND	Diamond	10-15 minutes	Large object south of mid size city on busy Hwy that wasn't busy that night.	6/12/02	46.6735687256,-96.8090209961	
12/20/01 19:30	Aneta (by/near)	ND	Circle	15 seconds	Coming from Grand Forks going west on highway 15. We were looking at Christmas lights when we noticed 5 white lights to the south of us	1/11/02	47.6799507141,-97.9897079468	
10/27/01 06:30	Napoleon	ND	Light	10 minutes	Looked like a satelite, but made turns and loops	11/20/01	46.500579834,-99.76902771	
10/27/01 06:30	Napoleon	ND	Light	10 minutes	Bright star like light doing loops, circles, then darting off.	1/11/02	46.500579834,-99.76902771	
10/15/01 22:30	Wahpeton	ND	Egg		It lasted about 10 min. but seemed longer.	8/16/02	46.2639083862,-96.6047286987	
7/22/01 23:00	Fort Totten	ND	Other	1 hour	moving objects in the sky	8/5/01	47.9875297546,-98.996307373	
7/20/01 22:00	White Butte (near)	ND	Circle	15 seconds	Red -orange firey disk that flew past me slowly, and then speedup and was out of sight in about 10 seconds.	10/31/03	46.3869590759,-103.302215576	
12/1/00 17:20	Devils Lake	ND	Diamond	5 minutes	zig-zag moving craft, with four white lights, at a great speed	12/5/01	48.0337791443,-98.9549026489	
10/4/00 01:57	Fargo	ND	Triangle	3 minutes	triangle shaped with no noise	12/2/00	46.8759117126,-96.7817611694	
9/15/00 19:00	Belfield	ND	Disk	10-15 minutes	first I see a bright light appearing like a very bright star, it starts to waver, which called my attention to it,	8/28/02	46.8858795166,-103.199378967	
