DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
6/28/11 21:25	North Myrtle Beach	SC	Triangle	2 Minutes	Three orange/reddish triangular  lights over North Myrtle Beach!	8/7/11	33.8276596069,-78.6848983765	
6/28/11 10:35	Myrtle Beach	SC	Unknown	10 seconds	We are staying around 70th/71st North Myrtle and saw the lights last night from our balcony @ approx 10:30p.  Strangest thing we have s	7/4/11	33.6935691833,-78.8826675415	
6/25/11 22:00	Fort Mill	SC	Light	2 min.	Series of 6 silent fiery-orange lights moving across night sky	6/27/11	35.0066719055,-80.9431610107	
6/15/11 05:16	Westminster	SC	Light	3 minutes	bright light in the night sky.  ((NUFORC Note:  Sighting of International Space Station.  PD))	6/20/11	34.6666984558,-83.0990219116	
6/8/11 21:45	Myrtle Beach	SC	Formation	45 minutes	Bright orange balls of light in random formations and quickly moving, chased by military jets	6/12/11	33.6935691833,-78.8826675415	
6/8/11 21:31	Pawleys Island	SC		30 sec	4 evenly spaced hot orange lights 'switched on' and hung horizontally for 30-40 sec over Atlantic Ocean.	6/20/11	33.4384994507,-79.1277236938	
6/8/11 21:30	Litchfield Beach	SC	Circle	1 minute	Orange Circular Blinking Lights Over The Ocean At Litchfield Beach, SC	6/12/11	33.4668312073,-79.0997619629	
6/8/11 21:30	Pawleys Island	SC	Sphere	1 hour	Several orange, sphere shaped UFOs appeared off the coast of Pawleys Island, SC on 06/08/2011	6/12/11	33.4384994507,-79.1277236938	
6/8/11 21:30	North Myrtle Beach	SC	Fireball	30  min	Orange balls over ocean no ships in area	6/12/11	33.8276596069,-78.6848983765	
5/31/11 22:14	Lowrys	SC	Light	3 min	a light same speed as visible satellite moving north dims then gets brighter and dims repeatedly	6/3/11	34.8046989441,-81.2385177612	
5/29/11 23:30	York	SC	Light	6 seconds	green flames following orange ball	6/3/11	34.9931182861,-81.2426986694	
5/29/11 01:00	Myrtle Beach	SC	Oval	1 HOUR	((HOAX??))  The object was orangish in color with red lights hovering still above the ocean for about an hour and just faded away.	6/3/11	33.6935691833,-78.8826675415	
5/22/11 08:10	Summerville	SC	Fireball	4 minutes	3 burning objects hovering.	5/29/11	33.0189704895,-80.1760101318	
5/19/11 12:30	Florence	SC	Fireball	20 Seconds	((HOAX??))  Two fireballs just looking at me.	5/29/11	34.1936302185,-79.7690582275	
5/13/11 22:00	Rock Hill	SC	Triangle	30 seconds	Lighted object over South Carolina	5/29/11	34.9240188599,-81.0266799927	
5/11/11 21:40	Columbia	SC	Light	10 minutes	Yesterday, 11 May 2011,  I noticed a white circle in the sky above my neighbor’s trees at the same time I heard a plan engine.  Within	5/12/11	33.998550415,-81.045249939	
5/5/11 23:20	Myrtle Beach	SC	Fireball	30 min.	This is the third time I have experienced this phenomenon within the past year or so………today is May 5, 2011…… time from 11:20-11:50 p.m	5/12/11	33.6935691833,-78.8826675415	
5/5/11 00:00	Myrtle Beach	SC	Formation	Few minutes	We have just seen a straight formation of lights moving north in Myrtle Beach.  Lights blink on then off.  Atleast 5 to 6 lights in a r	5/12/11	33.6935691833,-78.8826675415	
4/21/11 22:29	Fort Mill	SC	Light	7 seconds	I saw a red light with a little white flying across the sky which made no sound like a plane or helicopter. It was going at a fast spee	5/2/11	35.0066719055,-80.9431610107	
4/9/11 05:30	Travelers Rest	SC	Sphere	5-7 minutes	High altitude star like cluster of very high speed spherical light objects, changing light intensity	5/2/11	34.9653701782,-82.4373779297	
4/8/11 23:00	Irmo	SC	Triangle		((HOAX??))  ufo	5/2/11	34.0855903625,-81.1829681396	
4/1/11 22:15	Garden City	SC	Disk	2 MIN	Bright orange disk shaped objects over Garden City SC.	5/2/11	33.592628479,-79.0071182251	
3/29/11 20:00	Myrtle Beach	SC	Light	5 Minutes	Yellow lights in changing formations off coast of Myrtle Beach	4/3/11	33.6935691833,-78.8826675415	
3/25/11 20:30	Myrtle Beach	SC	Light	2 minutes	Myrtle Beach UFO sighting	5/2/11	33.6935691833,-78.8826675415	
3/22/11 19:30	Dillon	SC	Fireball	couple of seconds	A bright light plummeting toward the earth that looked brighter that any shooting star I had ever seen just before dark.	3/23/11	34.4170913696,-79.3707962036	
3/19/11 20:50	Taylors	SC	Circle	5 min	Fleet of 100 plus blue lights in SC night sky	3/23/11	34.8888397217,-82.3044586182	
3/18/11 20:40	Walhalla	SC	Triangle	1 minute	3 very bright non flashing white lights in a triangle formation moving slowing from west to North East w/no sound.	3/23/11	34.7644004822,-83.0658569336	
3/3/11 19:04	Honea Path	SC	Light	15 min	Four bright white lights approx. 10 miles away that looked like 2 cars 1/2 mile away, but wasn't.	3/10/11	34.4463615417,-82.3925094604	
2/28/11 19:00	Lexington	SC	Light	Lake Murray	cone shaped light that flickered before illumintating the sky in a cone shape way	3/10/11	33.9806098938,-81.2361831665	
2/28/11 00:30	Sumter	SC	Light	15 minutes	3 light perfectly spaced in a line low in the sky.	3/10/11	33.9243392944,-80.3423614502	
2/26/11 03:30	Travelers Rest	SC	Unknown	1 min.	Four lights hovering above us, following us, then disappearing.	3/10/11	34.9653701782,-82.4373779297	
1/29/11 02:00	Scranton	SC	Light	current	I see six hovering flashing objects	1/31/11	33.9175682068,-79.7458572388	
1/22/11 20:35	Gray Court	SC	Oval	10 minutes	Fast moving object from east to west which vanished for a while then appeared much farther away.	4/3/11	34.6075782776,-82.1126403809	
1/7/11 01:00	Greer	SC	Fireball	3 minutes	I was standing on my porch looking and as soon as I looked in the sky I saw an orange fireball. It appeared as though it was there befo	1/31/11	34.9382095337,-82.2276992798	
12/30/10 19:30	Bluffton	SC	Light	2-3 Mins	Moving lights in the south carolina Sky.	1/5/11	32.2372093201,-80.861328125	
11/24/10 22:44	Myrtle Beach	SC	Light	1 hour +	Two strange stationary lights in the sky with no specific shape and variolus colors.  ((NUFORC Note:  Twinkling stars??  PD))	1/5/11	33.6935691833,-78.8826675415	
